,pred,true
121,Megakaryocyte,Megakaryocyte
122,CD4+ T cell,CD4+ T cell
123,Natural killer cell,Natural killer cell
124,Cytotoxic T cell,Cytotoxic T cell
125,Cytotoxic T cell,Cytotoxic T cell
126,Cytotoxic T cell,CD4+ T cell
127,CD4+ T cell,CD4+ T cell
128,CD4+ T cell,CD4+ T cell
129,Cytotoxic T cell,Cytotoxic T cell
130,CD4+ T cell,CD4+ T cell
131,B cell,B cell
132,B cell,B cell
133,Cytotoxic T cell,Cytotoxic T cell
134,CD14+ monocyte,B cell
135,Natural killer cell,Natural killer cell
136,Cytotoxic T cell,Cytotoxic T cell
137,CD4+ T cell,CD4+ T cell
138,Megakaryocyte,Megakaryocyte
139,B cell,B cell
140,Natural killer cell,Cytotoxic T cell
141,Cytotoxic T cell,Cytotoxic T cell
142,CD4+ T cell,CD4+ T cell
143,Cytotoxic T cell,Cytotoxic T cell
144,Cytotoxic T cell,Cytotoxic T cell
145,Cytotoxic T cell,Cytotoxic T cell
146,CD4+ T cell,CD4+ T cell
147,Cytotoxic T cell,Cytotoxic T cell
148,Natural killer cell,Cytotoxic T cell
149,Cytotoxic T cell,Cytotoxic T cell
150,CD4+ T cell,CD4+ T cell
151,CD4+ T cell,CD4+ T cell
152,Cytotoxic T cell,Cytotoxic T cell
153,Cytotoxic T cell,Natural killer cell
154,Cytotoxic T cell,Cytotoxic T cell
155,Cytotoxic T cell,CD4+ T cell
156,CD4+ T cell,CD4+ T cell
157,Cytotoxic T cell,CD4+ T cell
158,B cell,B cell
159,Natural killer cell,Cytotoxic T cell
160,Natural killer cell,Cytotoxic T cell
161,B cell,B cell
162,Cytotoxic T cell,CD4+ T cell
163,CD16+ monocyte,CD16+ monocyte
164,CD14+ monocyte,CD14+ monocyte
165,CD4+ T cell,CD4+ T cell
166,Cytotoxic T cell,CD4+ T cell
167,B cell,B cell
168,Cytotoxic T cell,Cytotoxic T cell
169,Cytotoxic T cell,Cytotoxic T cell
170,B cell,B cell
171,Natural killer cell,Natural killer cell
172,Cytotoxic T cell,Cytotoxic T cell
173,Cytotoxic T cell,Cytotoxic T cell
174,CD4+ T cell,CD4+ T cell
175,Cytotoxic T cell,CD4+ T cell
176,CD16+ monocyte,CD14+ monocyte
177,Cytotoxic T cell,Natural killer cell
178,B cell,B cell
179,Cytotoxic T cell,CD4+ T cell
180,Cytotoxic T cell,Cytotoxic T cell
181,B cell,B cell
182,B cell,B cell
183,Cytotoxic T cell,CD4+ T cell
184,Natural killer cell,Cytotoxic T cell
185,CD16+ monocyte,CD14+ monocyte
186,Cytotoxic T cell,Cytotoxic T cell
187,Cytotoxic T cell,CD4+ T cell
188,Natural killer cell,Natural killer cell
189,Cytotoxic T cell,Cytotoxic T cell
190,Natural killer cell,Natural killer cell
191,Cytotoxic T cell,Cytotoxic T cell
192,CD4+ T cell,CD4+ T cell
193,Cytotoxic T cell,Cytotoxic T cell
194,Cytotoxic T cell,Cytotoxic T cell
195,Cytotoxic T cell,Cytotoxic T cell
196,Cytotoxic T cell,CD4+ T cell
197,Megakaryocyte,Megakaryocyte
198,Natural killer cell,Natural killer cell
199,CD4+ T cell,CD4+ T cell
200,Cytotoxic T cell,CD4+ T cell
201,Cytotoxic T cell,Cytotoxic T cell
202,Cytotoxic T cell,Natural killer cell
203,B cell,B cell
204,CD4+ T cell,CD4+ T cell
205,Megakaryocyte,Megakaryocyte
206,Cytotoxic T cell,Cytotoxic T cell
207,Natural killer cell,Natural killer cell
208,CD4+ T cell,CD4+ T cell
209,CD14+ monocyte,CD16+ monocyte
210,CD14+ monocyte,CD14+ monocyte
211,CD16+ monocyte,CD16+ monocyte
212,Cytotoxic T cell,CD4+ T cell
213,Cytotoxic T cell,CD4+ T cell
214,CD4+ T cell,CD4+ T cell
215,B cell,B cell
216,Cytotoxic T cell,Cytotoxic T cell
217,Megakaryocyte,Megakaryocyte
218,CD4+ T cell,CD4+ T cell
219,CD16+ monocyte,CD16+ monocyte
220,B cell,B cell
221,B cell,B cell
222,B cell,B cell
223,Natural killer cell,Natural killer cell
224,CD16+ monocyte,CD16+ monocyte
225,Cytotoxic T cell,Cytotoxic T cell
226,CD4+ T cell,CD4+ T cell
227,Cytotoxic T cell,CD4+ T cell
228,B cell,B cell
229,B cell,B cell
230,Cytotoxic T cell,Cytotoxic T cell
231,Cytotoxic T cell,Cytotoxic T cell
232,Cytotoxic T cell,Cytotoxic T cell
233,Cytotoxic T cell,Cytotoxic T cell
234,Natural killer cell,Cytotoxic T cell
235,Natural killer cell,Natural killer cell
236,CD14+ monocyte,CD14+ monocyte
237,Cytotoxic T cell,CD4+ T cell
238,CD4+ T cell,CD4+ T cell
239,Cytotoxic T cell,CD4+ T cell
240,Cytotoxic T cell,Cytotoxic T cell
241,Cytotoxic T cell,Cytotoxic T cell
242,B cell,B cell
243,Natural killer cell,Natural killer cell
244,CD16+ monocyte,CD16+ monocyte
245,CD4+ T cell,CD4+ T cell
246,CD14+ monocyte,CD14+ monocyte
247,Cytotoxic T cell,Cytotoxic T cell
248,Cytotoxic T cell,CD4+ T cell
249,Cytotoxic T cell,Cytotoxic T cell
250,Cytotoxic T cell,Cytotoxic T cell
251,Natural killer cell,Cytotoxic T cell
252,B cell,B cell
253,Cytotoxic T cell,Cytotoxic T cell
254,Cytotoxic T cell,Cytotoxic T cell
255,CD14+ monocyte,CD14+ monocyte
256,Cytotoxic T cell,Cytotoxic T cell
257,CD4+ T cell,CD4+ T cell
258,Cytotoxic T cell,Cytotoxic T cell
259,Cytotoxic T cell,Cytotoxic T cell
260,Cytotoxic T cell,Cytotoxic T cell
261,Natural killer cell,Cytotoxic T cell
262,Natural killer cell,Cytotoxic T cell
263,Cytotoxic T cell,Cytotoxic T cell
264,CD4+ T cell,CD4+ T cell
265,Cytotoxic T cell,CD4+ T cell
266,CD4+ T cell,CD4+ T cell
267,Cytotoxic T cell,Cytotoxic T cell
268,Cytotoxic T cell,CD4+ T cell
269,Cytotoxic T cell,CD4+ T cell
270,CD14+ monocyte,CD4+ T cell
271,Cytotoxic T cell,CD4+ T cell
272,B cell,B cell
273,CD14+ monocyte,CD14+ monocyte
274,Natural killer cell,Natural killer cell
275,CD14+ monocyte,CD14+ monocyte
276,Natural killer cell,Cytotoxic T cell
277,Cytotoxic T cell,Cytotoxic T cell
278,CD4+ T cell,CD4+ T cell
279,Cytotoxic T cell,Cytotoxic T cell
280,Cytotoxic T cell,Cytotoxic T cell
281,Cytotoxic T cell,CD4+ T cell
282,Natural killer cell,Natural killer cell
283,Cytotoxic T cell,Cytotoxic T cell
284,Cytotoxic T cell,CD4+ T cell
285,CD4+ T cell,CD4+ T cell
286,Megakaryocyte,Megakaryocyte
287,Cytotoxic T cell,Cytotoxic T cell
288,CD16+ monocyte,CD16+ monocyte
289,Cytotoxic T cell,Cytotoxic T cell
290,Natural killer cell,Natural killer cell
291,CD16+ monocyte,CD16+ monocyte
292,CD16+ monocyte,CD14+ monocyte
293,Cytotoxic T cell,Cytotoxic T cell
294,CD14+ monocyte,CD14+ monocyte
295,Cytotoxic T cell,Cytotoxic T cell
296,Natural killer cell,Natural killer cell
297,Megakaryocyte,Megakaryocyte
298,B cell,B cell
299,B cell,B cell
300,Natural killer cell,Cytotoxic T cell
301,CD14+ monocyte,CD14+ monocyte
302,CD4+ T cell,CD4+ T cell
303,Natural killer cell,Cytotoxic T cell
304,CD14+ monocyte,Cytotoxic T cell
305,Cytotoxic T cell,CD4+ T cell
306,B cell,B cell
307,CD16+ monocyte,CD16+ monocyte
308,B cell,B cell
309,Cytotoxic T cell,Cytotoxic T cell
310,CD4+ T cell,CD4+ T cell
311,Cytotoxic T cell,Cytotoxic T cell
312,Cytotoxic T cell,CD4+ T cell
313,Cytotoxic T cell,Cytotoxic T cell
314,Natural killer cell,Natural killer cell
315,Cytotoxic T cell,Cytotoxic T cell
316,CD16+ monocyte,CD14+ monocyte
317,Cytotoxic T cell,CD4+ T cell
318,Cytotoxic T cell,Cytotoxic T cell
319,Cytotoxic T cell,Cytotoxic T cell
320,Natural killer cell,Natural killer cell
321,B cell,B cell
322,Cytotoxic T cell,Cytotoxic T cell
323,Cytotoxic T cell,CD4+ T cell
324,Cytotoxic T cell,CD14+ monocyte
325,Megakaryocyte,Megakaryocyte
326,CD16+ monocyte,CD14+ monocyte
327,Cytotoxic T cell,Cytotoxic T cell
328,B cell,B cell
329,Cytotoxic T cell,Cytotoxic T cell
330,Cytotoxic T cell,CD4+ T cell
331,Natural killer cell,Natural killer cell
332,CD4+ T cell,CD4+ T cell
333,B cell,B cell
334,Cytotoxic T cell,Cytotoxic T cell
335,Natural killer cell,Natural killer cell
336,Cytotoxic T cell,Cytotoxic T cell
337,CD14+ monocyte,CD14+ monocyte
338,Cytotoxic T cell,Cytotoxic T cell
339,Natural killer cell,Cytotoxic T cell
340,Cytotoxic T cell,Megakaryocyte
341,B cell,B cell
342,B cell,B cell
343,B cell,B cell
344,B cell,B cell
345,Cytotoxic T cell,Cytotoxic T cell
346,Natural killer cell,Cytotoxic T cell
347,Cytotoxic T cell,CD4+ T cell
348,Cytotoxic T cell,Cytotoxic T cell
349,B cell,B cell
350,Cytotoxic T cell,CD4+ T cell
351,CD4+ T cell,CD4+ T cell
352,CD4+ T cell,CD4+ T cell
353,Cytotoxic T cell,Cytotoxic T cell
354,Natural killer cell,Natural killer cell
355,CD4+ T cell,CD4+ T cell
356,Cytotoxic T cell,Cytotoxic T cell
357,CD4+ T cell,CD4+ T cell
358,Cytotoxic T cell,CD4+ T cell
359,Cytotoxic T cell,Cytotoxic T cell
360,Cytotoxic T cell,CD4+ T cell
361,CD14+ monocyte,CD14+ monocyte
362,B cell,B cell
363,CD4+ T cell,CD4+ T cell
364,Cytotoxic T cell,CD4+ T cell
365,Cytotoxic T cell,Cytotoxic T cell
366,Cytotoxic T cell,CD4+ T cell
367,Cytotoxic T cell,CD4+ T cell
368,CD4+ T cell,CD4+ T cell
369,Cytotoxic T cell,CD4+ T cell
370,CD14+ monocyte,CD14+ monocyte
371,B cell,B cell
372,Cytotoxic T cell,CD4+ T cell
373,Cytotoxic T cell,CD4+ T cell
374,CD14+ monocyte,CD14+ monocyte
375,Cytotoxic T cell,CD4+ T cell
376,B cell,B cell
377,CD16+ monocyte,CD16+ monocyte
378,B cell,B cell
379,Natural killer cell,Natural killer cell
380,B cell,B cell
381,Megakaryocyte,Megakaryocyte
382,B cell,B cell
383,B cell,CD4+ T cell
384,CD4+ T cell,CD4+ T cell
385,Cytotoxic T cell,CD4+ T cell
386,B cell,B cell
387,Cytotoxic T cell,Cytotoxic T cell
388,Cytotoxic T cell,Cytotoxic T cell
389,Cytotoxic T cell,CD4+ T cell
390,Cytotoxic T cell,Cytotoxic T cell
391,CD4+ T cell,CD4+ T cell
392,Natural killer cell,Natural killer cell
393,B cell,B cell
394,Cytotoxic T cell,Cytotoxic T cell
395,Cytotoxic T cell,CD4+ T cell
396,B cell,B cell
397,Cytotoxic T cell,CD4+ T cell
398,Natural killer cell,Cytotoxic T cell
399,CD4+ T cell,CD4+ T cell
400,Natural killer cell,Natural killer cell
401,Cytotoxic T cell,Cytotoxic T cell
402,B cell,B cell
403,Cytotoxic T cell,CD4+ T cell
404,CD4+ T cell,CD4+ T cell
405,B cell,B cell
406,Cytotoxic T cell,Cytotoxic T cell
407,CD4+ T cell,CD4+ T cell
408,CD4+ T cell,CD4+ T cell
409,Cytotoxic T cell,CD4+ T cell
410,Natural killer cell,Natural killer cell
411,Natural killer cell,Natural killer cell
412,Cytotoxic T cell,CD4+ T cell
413,Cytotoxic T cell,Cytotoxic T cell
414,CD4+ T cell,CD4+ T cell
415,Cytotoxic T cell,Cytotoxic T cell
416,Cytotoxic T cell,CD4+ T cell
417,Natural killer cell,Cytotoxic T cell
418,Cytotoxic T cell,Cytotoxic T cell
419,CD4+ T cell,CD4+ T cell
