,pred,true
191,CD14+ monocyte,CD14+ monocyte
192,Cytotoxic T cell,Cytotoxic T cell
193,B cell,Dendritic cell
194,CD14+ monocyte,CD16+ monocyte
195,CD14+ monocyte,CD14+ monocyte
196,Cytotoxic T cell,Cytotoxic T cell
197,B cell,B cell
198,Cytotoxic T cell,Cytotoxic T cell
199,CD14+ monocyte,CD14+ monocyte
200,CD14+ monocyte,CD14+ monocyte
201,CD4+ T cell,CD4+ T cell
202,CD14+ monocyte,CD14+ monocyte
203,Cytotoxic T cell,Cytotoxic T cell
204,CD16+ monocyte,CD16+ monocyte
205,CD16+ monocyte,CD16+ monocyte
206,Cytotoxic T cell,CD4+ T cell
207,Dendritic cell,CD14+ monocyte
208,CD4+ T cell,CD4+ T cell
209,CD14+ monocyte,CD14+ monocyte
210,B cell,B cell
211,CD4+ T cell,CD4+ T cell
212,B cell,CD14+ monocyte
213,CD4+ T cell,CD4+ T cell
214,B cell,B cell
215,CD14+ monocyte,CD14+ monocyte
216,Megakaryocyte,Megakaryocyte
217,CD14+ monocyte,CD14+ monocyte
218,CD14+ monocyte,CD14+ monocyte
219,Natural killer cell,Natural killer cell
220,CD4+ T cell,CD4+ T cell
221,B cell,B cell
222,CD14+ monocyte,CD14+ monocyte
223,CD14+ monocyte,CD14+ monocyte
224,CD14+ monocyte,CD14+ monocyte
225,Cytotoxic T cell,CD4+ T cell
226,CD14+ monocyte,CD14+ monocyte
227,Cytotoxic T cell,Cytotoxic T cell
228,CD16+ monocyte,CD16+ monocyte
229,B cell,B cell
230,CD14+ monocyte,CD14+ monocyte
231,Cytotoxic T cell,Cytotoxic T cell
232,Cytotoxic T cell,Cytotoxic T cell
233,CD14+ monocyte,CD14+ monocyte
234,Cytotoxic T cell,Cytotoxic T cell
235,CD14+ monocyte,CD14+ monocyte
236,Cytotoxic T cell,Cytotoxic T cell
237,B cell,B cell
238,CD4+ T cell,CD4+ T cell
239,Cytotoxic T cell,Cytotoxic T cell
240,CD4+ T cell,CD4+ T cell
241,Cytotoxic T cell,Cytotoxic T cell
242,CD14+ monocyte,CD14+ monocyte
243,B cell,B cell
244,CD14+ monocyte,CD14+ monocyte
245,Cytotoxic T cell,CD4+ T cell
246,CD14+ monocyte,CD14+ monocyte
247,CD4+ T cell,CD4+ T cell
248,Cytotoxic T cell,Cytotoxic T cell
249,CD4+ T cell,CD4+ T cell
250,Cytotoxic T cell,Cytotoxic T cell
251,Cytotoxic T cell,Cytotoxic T cell
252,B cell,Dendritic cell
253,Cytotoxic T cell,Cytotoxic T cell
254,Natural killer cell,Natural killer cell
255,CD14+ monocyte,CD14+ monocyte
256,CD14+ monocyte,CD14+ monocyte
257,Cytotoxic T cell,CD4+ T cell
258,CD14+ monocyte,CD14+ monocyte
259,CD14+ monocyte,CD14+ monocyte
260,B cell,B cell
261,CD14+ monocyte,CD14+ monocyte
262,Cytotoxic T cell,Cytotoxic T cell
263,CD14+ monocyte,Dendritic cell
264,Cytotoxic T cell,Cytotoxic T cell
265,CD14+ monocyte,CD14+ monocyte
266,B cell,B cell
267,Cytotoxic T cell,Cytotoxic T cell
268,CD4+ T cell,Cytotoxic T cell
269,CD14+ monocyte,CD14+ monocyte
270,Cytotoxic T cell,Cytotoxic T cell
271,Cytotoxic T cell,Cytotoxic T cell
272,CD14+ monocyte,CD14+ monocyte
273,Cytotoxic T cell,Cytotoxic T cell
274,Cytotoxic T cell,Cytotoxic T cell
275,Cytotoxic T cell,Cytotoxic T cell
276,CD14+ monocyte,CD14+ monocyte
277,Dendritic cell,Dendritic cell
278,B cell,B cell
279,CD14+ monocyte,CD14+ monocyte
280,CD16+ monocyte,CD16+ monocyte
281,CD4+ T cell,CD4+ T cell
282,CD14+ monocyte,CD14+ monocyte
283,Cytotoxic T cell,CD4+ T cell
284,Cytotoxic T cell,Cytotoxic T cell
285,CD14+ monocyte,CD14+ monocyte
286,Cytotoxic T cell,Cytotoxic T cell
287,CD14+ monocyte,CD14+ monocyte
288,CD14+ monocyte,CD14+ monocyte
289,CD14+ monocyte,CD14+ monocyte
290,CD14+ monocyte,Dendritic cell
291,Cytotoxic T cell,Cytotoxic T cell
292,CD4+ T cell,CD4+ T cell
293,CD4+ T cell,CD4+ T cell
294,CD14+ monocyte,CD14+ monocyte
295,Megakaryocyte,Megakaryocyte
296,CD4+ T cell,CD4+ T cell
297,CD14+ monocyte,CD14+ monocyte
298,B cell,CD14+ monocyte
299,CD4+ T cell,CD4+ T cell
300,CD16+ monocyte,CD16+ monocyte
301,B cell,B cell
302,Dendritic cell,Dendritic cell
303,B cell,Plasmacytoid dendritic cell
304,Cytotoxic T cell,Cytotoxic T cell
305,CD14+ monocyte,CD14+ monocyte
306,CD14+ monocyte,CD14+ monocyte
307,CD14+ monocyte,CD14+ monocyte
308,Cytotoxic T cell,Cytotoxic T cell
309,Natural killer cell,Natural killer cell
310,B cell,B cell
311,CD14+ monocyte,CD14+ monocyte
312,CD16+ monocyte,CD16+ monocyte
313,B cell,B cell
314,Cytotoxic T cell,Cytotoxic T cell
315,CD14+ monocyte,CD14+ monocyte
316,Megakaryocyte,Megakaryocyte
317,Cytotoxic T cell,Cytotoxic T cell
318,B cell,B cell
319,Cytotoxic T cell,Cytotoxic T cell
320,CD14+ monocyte,CD16+ monocyte
321,B cell,B cell
322,Cytotoxic T cell,Cytotoxic T cell
323,Cytotoxic T cell,Cytotoxic T cell
324,Dendritic cell,CD14+ monocyte
325,B cell,B cell
326,CD14+ monocyte,CD14+ monocyte
327,Cytotoxic T cell,Cytotoxic T cell
328,B cell,B cell
329,B cell,B cell
330,Cytotoxic T cell,Cytotoxic T cell
331,B cell,B cell
332,CD14+ monocyte,CD14+ monocyte
333,B cell,Dendritic cell
334,CD14+ monocyte,CD14+ monocyte
335,Megakaryocyte,Megakaryocyte
336,CD4+ T cell,CD4+ T cell
337,Cytotoxic T cell,CD4+ T cell
338,Cytotoxic T cell,Cytotoxic T cell
339,CD14+ monocyte,CD14+ monocyte
340,Cytotoxic T cell,Cytotoxic T cell
341,Cytotoxic T cell,Cytotoxic T cell
342,Cytotoxic T cell,CD4+ T cell
343,CD14+ monocyte,CD16+ monocyte
344,Cytotoxic T cell,Cytotoxic T cell
345,CD4+ T cell,CD4+ T cell
346,Cytotoxic T cell,CD4+ T cell
347,B cell,B cell
348,Cytotoxic T cell,CD4+ T cell
349,Natural killer cell,Natural killer cell
350,CD14+ monocyte,CD14+ monocyte
351,CD14+ monocyte,CD14+ monocyte
352,Cytotoxic T cell,CD4+ T cell
353,Cytotoxic T cell,Cytotoxic T cell
354,Cytotoxic T cell,Cytotoxic T cell
355,B cell,B cell
356,Cytotoxic T cell,CD4+ T cell
357,Cytotoxic T cell,Cytotoxic T cell
358,CD14+ monocyte,CD14+ monocyte
359,Cytotoxic T cell,Cytotoxic T cell
360,CD14+ monocyte,CD14+ monocyte
361,Cytotoxic T cell,Cytotoxic T cell
362,Cytotoxic T cell,Cytotoxic T cell
363,CD14+ monocyte,CD14+ monocyte
364,CD14+ monocyte,CD14+ monocyte
365,B cell,B cell
366,CD14+ monocyte,CD14+ monocyte
367,Cytotoxic T cell,Cytotoxic T cell
368,Cytotoxic T cell,Cytotoxic T cell
369,Cytotoxic T cell,Cytotoxic T cell
370,CD14+ monocyte,CD14+ monocyte
371,B cell,Dendritic cell
372,Cytotoxic T cell,Cytotoxic T cell
373,CD14+ monocyte,CD14+ monocyte
374,Cytotoxic T cell,Cytotoxic T cell
375,Cytotoxic T cell,CD4+ T cell
376,B cell,B cell
377,CD14+ monocyte,CD14+ monocyte
378,CD14+ monocyte,CD14+ monocyte
379,CD14+ monocyte,CD14+ monocyte
380,CD14+ monocyte,CD14+ monocyte
381,Cytotoxic T cell,Cytotoxic T cell
382,Cytotoxic T cell,Cytotoxic T cell
383,Cytotoxic T cell,Cytotoxic T cell
384,Cytotoxic T cell,CD4+ T cell
385,CD4+ T cell,CD4+ T cell
386,CD14+ monocyte,CD14+ monocyte
387,CD4+ T cell,Megakaryocyte
388,CD4+ T cell,CD4+ T cell
389,CD14+ monocyte,CD14+ monocyte
390,CD14+ monocyte,CD14+ monocyte
391,Cytotoxic T cell,Natural killer cell
392,CD14+ monocyte,CD14+ monocyte
393,Cytotoxic T cell,Cytotoxic T cell
394,B cell,B cell
395,CD14+ monocyte,CD14+ monocyte
396,B cell,B cell
397,CD14+ monocyte,CD14+ monocyte
398,CD16+ monocyte,CD16+ monocyte
399,Cytotoxic T cell,Cytotoxic T cell
400,Cytotoxic T cell,Cytotoxic T cell
401,CD14+ monocyte,Megakaryocyte
402,CD14+ monocyte,CD14+ monocyte
403,CD4+ T cell,CD4+ T cell
404,B cell,B cell
405,Cytotoxic T cell,CD4+ T cell
406,CD14+ monocyte,CD14+ monocyte
407,CD14+ monocyte,CD14+ monocyte
408,Megakaryocyte,Megakaryocyte
409,CD14+ monocyte,CD14+ monocyte
410,CD14+ monocyte,CD14+ monocyte
411,CD4+ T cell,CD4+ T cell
412,Cytotoxic T cell,Cytotoxic T cell
413,Cytotoxic T cell,CD4+ T cell
414,CD14+ monocyte,CD16+ monocyte
415,Cytotoxic T cell,Cytotoxic T cell
416,CD14+ monocyte,CD14+ monocyte
417,CD14+ monocyte,CD14+ monocyte
418,B cell,B cell
419,Cytotoxic T cell,Cytotoxic T cell
420,Megakaryocyte,Megakaryocyte
421,B cell,B cell
422,Cytotoxic T cell,Cytotoxic T cell
423,Cytotoxic T cell,Cytotoxic T cell
424,B cell,B cell
425,CD4+ T cell,CD4+ T cell
426,Cytotoxic T cell,Cytotoxic T cell
427,Cytotoxic T cell,Cytotoxic T cell
428,B cell,B cell
429,CD14+ monocyte,CD14+ monocyte
430,CD14+ monocyte,CD14+ monocyte
431,B cell,B cell
432,Cytotoxic T cell,Cytotoxic T cell
433,CD14+ monocyte,CD14+ monocyte
434,Cytotoxic T cell,Cytotoxic T cell
435,Cytotoxic T cell,Cytotoxic T cell
436,CD14+ monocyte,CD14+ monocyte
437,Cytotoxic T cell,Cytotoxic T cell
438,Cytotoxic T cell,Cytotoxic T cell
439,CD14+ monocyte,CD14+ monocyte
440,B cell,B cell
441,CD4+ T cell,CD4+ T cell
442,Cytotoxic T cell,Cytotoxic T cell
443,CD14+ monocyte,CD14+ monocyte
444,B cell,B cell
445,CD4+ T cell,CD4+ T cell
446,CD4+ T cell,CD4+ T cell
447,Natural killer cell,Cytotoxic T cell
448,B cell,B cell
449,Cytotoxic T cell,Cytotoxic T cell
450,CD14+ monocyte,CD14+ monocyte
451,B cell,B cell
452,CD14+ monocyte,CD14+ monocyte
453,B cell,B cell
454,CD14+ monocyte,CD14+ monocyte
455,CD14+ monocyte,CD14+ monocyte
456,CD14+ monocyte,CD14+ monocyte
457,CD14+ monocyte,CD14+ monocyte
458,Natural killer cell,Natural killer cell
459,CD14+ monocyte,CD14+ monocyte
460,CD4+ T cell,CD4+ T cell
461,Cytotoxic T cell,Cytotoxic T cell
462,CD14+ monocyte,CD14+ monocyte
463,Cytotoxic T cell,Cytotoxic T cell
464,CD14+ monocyte,CD14+ monocyte
465,Cytotoxic T cell,Cytotoxic T cell
466,Cytotoxic T cell,Cytotoxic T cell
467,CD14+ monocyte,CD14+ monocyte
468,CD14+ monocyte,CD14+ monocyte
469,Cytotoxic T cell,Cytotoxic T cell
470,B cell,B cell
471,Cytotoxic T cell,Cytotoxic T cell
472,CD14+ monocyte,CD14+ monocyte
473,CD14+ monocyte,CD14+ monocyte
474,CD4+ T cell,CD4+ T cell
475,CD14+ monocyte,CD14+ monocyte
476,CD4+ T cell,CD4+ T cell
477,B cell,B cell
478,Natural killer cell,Natural killer cell
479,CD14+ monocyte,CD14+ monocyte
480,CD14+ monocyte,CD14+ monocyte
481,B cell,B cell
482,B cell,B cell
483,CD14+ monocyte,CD14+ monocyte
484,Cytotoxic T cell,Cytotoxic T cell
485,CD14+ monocyte,CD14+ monocyte
486,CD14+ monocyte,CD14+ monocyte
487,CD14+ monocyte,CD14+ monocyte
488,CD14+ monocyte,CD14+ monocyte
489,Cytotoxic T cell,Cytotoxic T cell
490,CD14+ monocyte,CD14+ monocyte
491,B cell,B cell
492,Dendritic cell,CD16+ monocyte
493,B cell,B cell
494,CD14+ monocyte,CD14+ monocyte
495,CD4+ T cell,CD4+ T cell
496,CD14+ monocyte,CD14+ monocyte
497,B cell,B cell
498,Cytotoxic T cell,Cytotoxic T cell
499,CD4+ T cell,CD4+ T cell
500,CD14+ monocyte,CD14+ monocyte
501,CD14+ monocyte,Cytotoxic T cell
502,Cytotoxic T cell,Cytotoxic T cell
503,CD4+ T cell,CD4+ T cell
504,CD16+ monocyte,CD16+ monocyte
505,CD4+ T cell,CD4+ T cell
506,B cell,B cell
507,CD4+ T cell,CD4+ T cell
508,Cytotoxic T cell,Cytotoxic T cell
509,CD4+ T cell,CD4+ T cell
510,CD14+ monocyte,CD14+ monocyte
511,Cytotoxic T cell,Cytotoxic T cell
512,CD14+ monocyte,CD14+ monocyte
513,Cytotoxic T cell,Cytotoxic T cell
514,CD14+ monocyte,CD14+ monocyte
515,CD14+ monocyte,CD14+ monocyte
516,CD14+ monocyte,Dendritic cell
517,Cytotoxic T cell,Cytotoxic T cell
518,B cell,B cell
519,Cytotoxic T cell,Cytotoxic T cell
520,CD4+ T cell,CD4+ T cell
521,CD14+ monocyte,CD14+ monocyte
522,B cell,B cell
523,CD14+ monocyte,CD14+ monocyte
524,CD14+ monocyte,CD14+ monocyte
525,Natural killer cell,Natural killer cell
526,Cytotoxic T cell,Cytotoxic T cell
527,CD14+ monocyte,CD14+ monocyte
528,CD4+ T cell,Cytotoxic T cell
529,B cell,B cell
530,Cytotoxic T cell,Cytotoxic T cell
531,B cell,B cell
532,CD14+ monocyte,CD16+ monocyte
533,Cytotoxic T cell,Cytotoxic T cell
534,CD14+ monocyte,CD14+ monocyte
535,CD14+ monocyte,CD14+ monocyte
536,CD14+ monocyte,CD14+ monocyte
537,CD4+ T cell,CD4+ T cell
538,CD14+ monocyte,CD14+ monocyte
539,B cell,B cell
540,B cell,B cell
541,CD14+ monocyte,CD14+ monocyte
542,CD14+ monocyte,CD14+ monocyte
543,Cytotoxic T cell,Cytotoxic T cell
544,Cytotoxic T cell,Cytotoxic T cell
545,CD14+ monocyte,CD14+ monocyte
546,CD4+ T cell,CD4+ T cell
547,CD4+ T cell,CD4+ T cell
548,Cytotoxic T cell,CD4+ T cell
549,B cell,B cell
550,CD14+ monocyte,CD14+ monocyte
551,B cell,B cell
552,B cell,B cell
553,Natural killer cell,Cytotoxic T cell
554,CD14+ monocyte,CD14+ monocyte
555,B cell,B cell
556,Cytotoxic T cell,Cytotoxic T cell
557,B cell,B cell
558,B cell,B cell
559,CD14+ monocyte,CD14+ monocyte
560,CD14+ monocyte,CD14+ monocyte
561,Cytotoxic T cell,Cytotoxic T cell
562,CD14+ monocyte,CD14+ monocyte
563,B cell,B cell
564,Cytotoxic T cell,Cytotoxic T cell
565,Cytotoxic T cell,Cytotoxic T cell
566,CD16+ monocyte,CD16+ monocyte
567,Cytotoxic T cell,Cytotoxic T cell
568,Dendritic cell,B cell
569,B cell,B cell
570,B cell,B cell
571,CD4+ T cell,CD4+ T cell
572,CD4+ T cell,CD4+ T cell
573,CD4+ T cell,CD4+ T cell
574,B cell,B cell
575,Cytotoxic T cell,Cytotoxic T cell
576,B cell,B cell
577,Cytotoxic T cell,Cytotoxic T cell
578,CD14+ monocyte,CD14+ monocyte
579,Cytotoxic T cell,Cytotoxic T cell
580,Cytotoxic T cell,Cytotoxic T cell
581,Cytotoxic T cell,CD4+ T cell
582,Cytotoxic T cell,Cytotoxic T cell
583,Dendritic cell,CD14+ monocyte
584,Cytotoxic T cell,Cytotoxic T cell
585,CD14+ monocyte,CD14+ monocyte
586,Megakaryocyte,Megakaryocyte
587,CD14+ monocyte,CD14+ monocyte
588,B cell,B cell
589,CD14+ monocyte,CD14+ monocyte
590,Natural killer cell,Cytotoxic T cell
591,CD14+ monocyte,CD14+ monocyte
592,CD4+ T cell,CD4+ T cell
593,CD4+ T cell,CD4+ T cell
594,CD14+ monocyte,CD14+ monocyte
595,CD14+ monocyte,CD14+ monocyte
596,CD14+ monocyte,CD14+ monocyte
597,CD4+ T cell,CD4+ T cell
598,CD16+ monocyte,CD14+ monocyte
599,CD4+ T cell,CD4+ T cell
600,B cell,B cell
601,Cytotoxic T cell,Cytotoxic T cell
602,Cytotoxic T cell,Cytotoxic T cell
603,CD14+ monocyte,CD14+ monocyte
604,CD16+ monocyte,CD16+ monocyte
605,CD14+ monocyte,CD14+ monocyte
606,CD14+ monocyte,CD14+ monocyte
607,CD14+ monocyte,CD14+ monocyte
608,Cytotoxic T cell,Cytotoxic T cell
609,CD4+ T cell,CD4+ T cell
610,Cytotoxic T cell,Cytotoxic T cell
611,Cytotoxic T cell,Cytotoxic T cell
612,CD14+ monocyte,CD14+ monocyte
613,CD14+ monocyte,CD14+ monocyte
614,CD14+ monocyte,CD14+ monocyte
615,B cell,B cell
616,Cytotoxic T cell,Cytotoxic T cell
617,CD14+ monocyte,CD14+ monocyte
618,B cell,B cell
619,Natural killer cell,Cytotoxic T cell
620,B cell,B cell
621,CD4+ T cell,CD4+ T cell
622,CD14+ monocyte,CD14+ monocyte
623,CD14+ monocyte,CD14+ monocyte
624,CD14+ monocyte,CD4+ T cell
625,Cytotoxic T cell,CD4+ T cell
626,B cell,B cell
627,Cytotoxic T cell,Cytotoxic T cell
628,Cytotoxic T cell,Cytotoxic T cell
629,Cytotoxic T cell,CD4+ T cell
630,CD14+ monocyte,CD16+ monocyte
631,CD14+ monocyte,CD14+ monocyte
632,Cytotoxic T cell,CD4+ T cell
633,CD4+ T cell,CD4+ T cell
634,CD4+ T cell,CD4+ T cell
635,CD4+ T cell,CD4+ T cell
636,CD14+ monocyte,CD14+ monocyte
637,Cytotoxic T cell,Cytotoxic T cell
638,CD14+ monocyte,CD14+ monocyte
639,CD4+ T cell,CD4+ T cell
640,Cytotoxic T cell,Cytotoxic T cell
641,B cell,B cell
642,B cell,B cell
643,B cell,B cell
644,Cytotoxic T cell,Cytotoxic T cell
645,CD14+ monocyte,CD14+ monocyte
646,B cell,B cell
647,Cytotoxic T cell,Cytotoxic T cell
648,Natural killer cell,Natural killer cell
649,CD14+ monocyte,CD16+ monocyte
650,CD16+ monocyte,CD16+ monocyte
651,CD14+ monocyte,CD14+ monocyte
652,Cytotoxic T cell,CD4+ T cell
653,CD14+ monocyte,CD14+ monocyte
654,Cytotoxic T cell,Cytotoxic T cell
655,CD4+ T cell,CD4+ T cell
656,CD14+ monocyte,CD14+ monocyte
657,CD4+ T cell,CD4+ T cell
658,CD14+ monocyte,CD14+ monocyte
659,CD14+ monocyte,CD14+ monocyte
660,CD16+ monocyte,CD14+ monocyte
661,Cytotoxic T cell,Cytotoxic T cell
662,B cell,B cell
663,CD14+ monocyte,CD14+ monocyte
664,Cytotoxic T cell,Cytotoxic T cell
665,B cell,B cell
666,Natural killer cell,Natural killer cell
667,CD14+ monocyte,CD14+ monocyte
668,CD14+ monocyte,CD16+ monocyte
669,Cytotoxic T cell,Cytotoxic T cell
670,B cell,B cell
671,CD14+ monocyte,CD14+ monocyte
672,CD14+ monocyte,CD14+ monocyte
673,CD14+ monocyte,CD14+ monocyte
674,B cell,B cell
675,CD4+ T cell,CD4+ T cell
676,B cell,B cell
677,Cytotoxic T cell,Cytotoxic T cell
678,CD14+ monocyte,CD14+ monocyte
679,Cytotoxic T cell,Cytotoxic T cell
680,CD4+ T cell,CD4+ T cell
681,CD14+ monocyte,CD14+ monocyte
682,Cytotoxic T cell,Cytotoxic T cell
683,B cell,B cell
684,Dendritic cell,CD14+ monocyte
685,CD14+ monocyte,CD14+ monocyte
686,Natural killer cell,Natural killer cell
687,CD14+ monocyte,CD14+ monocyte
688,CD14+ monocyte,CD14+ monocyte
689,CD4+ T cell,CD4+ T cell
690,Cytotoxic T cell,Cytotoxic T cell
691,Cytotoxic T cell,Cytotoxic T cell
692,CD14+ monocyte,CD14+ monocyte
