,pred,true
83,Natural killer cell,Natural killer cell
84,Cytotoxic T cell,Cytotoxic T cell
85,Natural killer cell,Natural killer cell
86,CD14+ monocyte,CD14+ monocyte
87,CD4+ T cell,CD4+ T cell
88,Cytotoxic T cell,Natural killer cell
89,CD4+ T cell,CD4+ T cell
90,Cytotoxic T cell,Cytotoxic T cell
91,Dendritic cell,CD14+ monocyte
92,B cell,B cell
93,B cell,B cell
94,Cytotoxic T cell,Cytotoxic T cell
95,CD4+ T cell,CD4+ T cell
96,CD4+ T cell,CD4+ T cell
97,Cytotoxic T cell,Cytotoxic T cell
98,B cell,B cell
99,Cytotoxic T cell,Cytotoxic T cell
100,CD4+ T cell,CD4+ T cell
101,Cytotoxic T cell,Cytotoxic T cell
102,Cytotoxic T cell,Cytotoxic T cell
103,B cell,B cell
104,Cytotoxic T cell,Cytotoxic T cell
105,Cytotoxic T cell,Cytotoxic T cell
106,CD16+ monocyte,CD16+ monocyte
107,CD4+ T cell,CD4+ T cell
108,CD4+ T cell,CD4+ T cell
109,B cell,B cell
110,CD4+ T cell,CD4+ T cell
111,B cell,B cell
112,CD4+ T cell,CD4+ T cell
113,B cell,B cell
114,CD4+ T cell,CD4+ T cell
115,CD4+ T cell,CD4+ T cell
116,B cell,B cell
117,CD4+ T cell,CD4+ T cell
118,B cell,B cell
119,Cytotoxic T cell,Cytotoxic T cell
120,B cell,B cell
121,Cytotoxic T cell,Cytotoxic T cell
122,CD4+ T cell,CD4+ T cell
123,Cytotoxic T cell,Cytotoxic T cell
124,Dendritic cell,Dendritic cell
125,CD4+ T cell,CD4+ T cell
126,CD16+ monocyte,CD16+ monocyte
127,CD4+ T cell,CD4+ T cell
128,Cytotoxic T cell,Natural killer cell
129,CD14+ monocyte,CD16+ monocyte
130,CD4+ T cell,CD4+ T cell
131,CD4+ T cell,CD4+ T cell
132,CD4+ T cell,CD4+ T cell
133,Cytotoxic T cell,Cytotoxic T cell
134,B cell,B cell
135,B cell,B cell
136,CD4+ T cell,Cytotoxic T cell
137,B cell,B cell
138,Cytotoxic T cell,Cytotoxic T cell
139,Cytotoxic T cell,Cytotoxic T cell
140,CD4+ T cell,CD4+ T cell
141,B cell,B cell
142,Cytotoxic T cell,Natural killer cell
143,B cell,B cell
144,Cytotoxic T cell,Cytotoxic T cell
145,Cytotoxic T cell,Cytotoxic T cell
146,CD4+ T cell,CD4+ T cell
147,Cytotoxic T cell,Cytotoxic T cell
148,Cytotoxic T cell,Cytotoxic T cell
149,Cytotoxic T cell,Cytotoxic T cell
150,B cell,B cell
151,CD4+ T cell,CD4+ T cell
152,Cytotoxic T cell,Cytotoxic T cell
153,CD14+ monocyte,Dendritic cell
154,B cell,B cell
155,CD4+ T cell,CD4+ T cell
156,Cytotoxic T cell,Cytotoxic T cell
157,CD4+ T cell,CD4+ T cell
158,B cell,B cell
159,Cytotoxic T cell,Cytotoxic T cell
160,CD4+ T cell,CD4+ T cell
161,Cytotoxic T cell,Cytotoxic T cell
162,Cytotoxic T cell,Natural killer cell
163,CD4+ T cell,CD4+ T cell
164,Cytotoxic T cell,CD4+ T cell
165,Cytotoxic T cell,Cytotoxic T cell
166,Cytotoxic T cell,CD4+ T cell
167,CD4+ T cell,CD4+ T cell
168,Cytotoxic T cell,Cytotoxic T cell
169,B cell,B cell
170,Cytotoxic T cell,Natural killer cell
171,Cytotoxic T cell,Natural killer cell
172,CD4+ T cell,CD4+ T cell
173,Dendritic cell,Dendritic cell
174,B cell,B cell
175,Cytotoxic T cell,Cytotoxic T cell
176,Cytotoxic T cell,Cytotoxic T cell
177,Cytotoxic T cell,CD14+ monocyte
178,CD4+ T cell,Cytotoxic T cell
179,B cell,B cell
180,Cytotoxic T cell,Cytotoxic T cell
181,Cytotoxic T cell,CD4+ T cell
182,B cell,B cell
183,B cell,B cell
184,Cytotoxic T cell,Cytotoxic T cell
185,CD4+ T cell,CD4+ T cell
186,Cytotoxic T cell,Cytotoxic T cell
187,CD4+ T cell,CD4+ T cell
188,B cell,B cell
189,CD16+ monocyte,CD14+ monocyte
190,Cytotoxic T cell,Cytotoxic T cell
191,Natural killer cell,Natural killer cell
192,Cytotoxic T cell,Cytotoxic T cell
193,Cytotoxic T cell,Cytotoxic T cell
194,Cytotoxic T cell,Cytotoxic T cell
195,Cytotoxic T cell,CD4+ T cell
196,CD4+ T cell,Cytotoxic T cell
197,CD14+ monocyte,CD14+ monocyte
198,Cytotoxic T cell,Cytotoxic T cell
199,CD4+ T cell,CD4+ T cell
200,Cytotoxic T cell,Cytotoxic T cell
201,B cell,B cell
202,CD4+ T cell,CD4+ T cell
203,CD14+ monocyte,CD16+ monocyte
204,B cell,B cell
205,B cell,B cell
206,B cell,B cell
207,Cytotoxic T cell,Cytotoxic T cell
208,CD14+ monocyte,CD14+ monocyte
209,CD14+ monocyte,CD14+ monocyte
210,B cell,B cell
211,CD4+ T cell,CD4+ T cell
212,Cytotoxic T cell,Cytotoxic T cell
213,B cell,B cell
214,B cell,B cell
215,B cell,B cell
216,CD14+ monocyte,CD16+ monocyte
217,B cell,B cell
218,CD4+ T cell,CD4+ T cell
219,Cytotoxic T cell,Cytotoxic T cell
220,Cytotoxic T cell,Cytotoxic T cell
221,Dendritic cell,CD14+ monocyte
222,B cell,B cell
223,CD4+ T cell,CD4+ T cell
224,CD4+ T cell,CD4+ T cell
225,Cytotoxic T cell,Cytotoxic T cell
226,Cytotoxic T cell,Cytotoxic T cell
227,Cytotoxic T cell,CD14+ monocyte
228,Cytotoxic T cell,Cytotoxic T cell
229,B cell,B cell
230,CD4+ T cell,CD4+ T cell
231,CD16+ monocyte,CD16+ monocyte
232,Plasmacytoid dendritic cell,Plasmacytoid dendritic cell
233,CD14+ monocyte,CD4+ T cell
234,Cytotoxic T cell,Natural killer cell
235,CD4+ T cell,CD4+ T cell
236,Cytotoxic T cell,Natural killer cell
237,B cell,Plasmacytoid dendritic cell
238,B cell,B cell
239,Cytotoxic T cell,Cytotoxic T cell
240,Dendritic cell,CD14+ monocyte
241,Cytotoxic T cell,Cytotoxic T cell
242,Cytotoxic T cell,CD4+ T cell
243,Cytotoxic T cell,Cytotoxic T cell
244,CD4+ T cell,CD4+ T cell
245,Cytotoxic T cell,Cytotoxic T cell
246,Cytotoxic T cell,Cytotoxic T cell
247,Natural killer cell,Natural killer cell
248,Cytotoxic T cell,Cytotoxic T cell
249,Cytotoxic T cell,Cytotoxic T cell
250,CD4+ T cell,CD4+ T cell
251,CD4+ T cell,CD4+ T cell
252,Cytotoxic T cell,Cytotoxic T cell
253,Cytotoxic T cell,Cytotoxic T cell
254,CD4+ T cell,CD4+ T cell
255,Cytotoxic T cell,CD4+ T cell
256,B cell,B cell
257,B cell,B cell
258,CD4+ T cell,CD4+ T cell
259,Cytotoxic T cell,Natural killer cell
260,CD14+ monocyte,CD16+ monocyte
261,CD4+ T cell,CD4+ T cell
262,Natural killer cell,CD14+ monocyte
263,Cytotoxic T cell,Natural killer cell
264,B cell,B cell
265,Cytotoxic T cell,Cytotoxic T cell
266,CD4+ T cell,CD4+ T cell
267,CD14+ monocyte,CD14+ monocyte
268,B cell,B cell
269,CD4+ T cell,CD4+ T cell
270,Cytotoxic T cell,Cytotoxic T cell
271,B cell,B cell
272,B cell,B cell
273,Cytotoxic T cell,Cytotoxic T cell
274,CD4+ T cell,CD4+ T cell
275,B cell,B cell
276,CD14+ monocyte,CD14+ monocyte
277,B cell,B cell
278,B cell,B cell
279,CD4+ T cell,CD4+ T cell
280,Natural killer cell,Natural killer cell
281,Dendritic cell,CD14+ monocyte
282,Natural killer cell,Natural killer cell
283,Cytotoxic T cell,Cytotoxic T cell
284,Cytotoxic T cell,Cytotoxic T cell
285,Cytotoxic T cell,Cytotoxic T cell
286,CD4+ T cell,Cytotoxic T cell
287,Cytotoxic T cell,Cytotoxic T cell
288,Cytotoxic T cell,Cytotoxic T cell
289,Cytotoxic T cell,Cytotoxic T cell
290,Cytotoxic T cell,Cytotoxic T cell
291,CD4+ T cell,Cytotoxic T cell
292,Cytotoxic T cell,Cytotoxic T cell
293,CD4+ T cell,CD4+ T cell
294,B cell,B cell
295,Natural killer cell,Natural killer cell
296,CD14+ monocyte,CD14+ monocyte
297,Cytotoxic T cell,Cytotoxic T cell
298,B cell,B cell
299,Cytotoxic T cell,CD4+ T cell
300,CD14+ monocyte,CD14+ monocyte
301,Cytotoxic T cell,Cytotoxic T cell
302,CD4+ T cell,CD4+ T cell
303,CD4+ T cell,CD4+ T cell
304,CD4+ T cell,CD4+ T cell
305,B cell,B cell
306,CD14+ monocyte,CD14+ monocyte
307,Cytotoxic T cell,Cytotoxic T cell
308,B cell,B cell
309,B cell,B cell
310,CD4+ T cell,CD4+ T cell
311,Cytotoxic T cell,CD4+ T cell
312,B cell,B cell
313,B cell,B cell
314,CD4+ T cell,CD4+ T cell
315,Plasmacytoid dendritic cell,Plasmacytoid dendritic cell
316,CD4+ T cell,CD4+ T cell
317,B cell,B cell
318,CD16+ monocyte,CD14+ monocyte
319,Cytotoxic T cell,Cytotoxic T cell
320,CD4+ T cell,CD4+ T cell
321,Cytotoxic T cell,Natural killer cell
322,B cell,B cell
323,Cytotoxic T cell,CD4+ T cell
324,B cell,B cell
325,Cytotoxic T cell,Cytotoxic T cell
326,B cell,B cell
327,B cell,B cell
328,CD4+ T cell,CD4+ T cell
329,B cell,B cell
330,B cell,B cell
331,Cytotoxic T cell,Cytotoxic T cell
332,Natural killer cell,Natural killer cell
333,CD4+ T cell,CD4+ T cell
334,B cell,B cell
335,B cell,B cell
336,CD4+ T cell,CD4+ T cell
337,B cell,B cell
338,Cytotoxic T cell,Cytotoxic T cell
339,CD4+ T cell,CD4+ T cell
340,Cytotoxic T cell,Cytotoxic T cell
341,B cell,B cell
342,Cytotoxic T cell,Cytotoxic T cell
343,CD4+ T cell,CD4+ T cell
344,CD4+ T cell,CD4+ T cell
345,CD4+ T cell,CD4+ T cell
346,CD14+ monocyte,CD16+ monocyte
347,B cell,B cell
348,CD4+ T cell,CD4+ T cell
349,Cytotoxic T cell,Cytotoxic T cell
350,Cytotoxic T cell,Cytotoxic T cell
351,Cytotoxic T cell,Cytotoxic T cell
352,B cell,CD4+ T cell
353,Cytotoxic T cell,CD14+ monocyte
354,CD4+ T cell,CD4+ T cell
355,CD4+ T cell,CD4+ T cell
356,CD4+ T cell,CD4+ T cell
357,Cytotoxic T cell,CD4+ T cell
358,B cell,B cell
359,Cytotoxic T cell,Cytotoxic T cell
360,Cytotoxic T cell,Cytotoxic T cell
361,Cytotoxic T cell,Cytotoxic T cell
362,Cytotoxic T cell,Cytotoxic T cell
363,CD4+ T cell,CD4+ T cell
364,Cytotoxic T cell,Cytotoxic T cell
365,CD14+ monocyte,CD14+ monocyte
366,CD4+ T cell,CD4+ T cell
367,Cytotoxic T cell,Cytotoxic T cell
368,CD4+ T cell,CD4+ T cell
369,Cytotoxic T cell,Cytotoxic T cell
370,B cell,B cell
371,Cytotoxic T cell,Cytotoxic T cell
372,B cell,B cell
373,B cell,B cell
374,CD4+ T cell,CD4+ T cell
375,CD14+ monocyte,CD16+ monocyte
376,CD4+ T cell,CD4+ T cell
377,B cell,B cell
378,CD4+ T cell,CD4+ T cell
379,CD4+ T cell,CD4+ T cell
380,Cytotoxic T cell,CD4+ T cell
381,Cytotoxic T cell,Cytotoxic T cell
382,Cytotoxic T cell,Cytotoxic T cell
383,CD4+ T cell,CD4+ T cell
384,B cell,B cell
385,CD14+ monocyte,CD14+ monocyte
386,Cytotoxic T cell,Cytotoxic T cell
387,CD4+ T cell,CD4+ T cell
388,CD16+ monocyte,CD16+ monocyte
389,B cell,B cell
390,CD14+ monocyte,CD14+ monocyte
391,Cytotoxic T cell,Natural killer cell
392,Cytotoxic T cell,Cytotoxic T cell
393,CD4+ T cell,CD4+ T cell
394,Cytotoxic T cell,Cytotoxic T cell
395,Cytotoxic T cell,Cytotoxic T cell
396,B cell,B cell
397,CD4+ T cell,CD4+ T cell
398,Cytotoxic T cell,Natural killer cell
399,Cytotoxic T cell,Cytotoxic T cell
400,Natural killer cell,Natural killer cell
401,Cytotoxic T cell,CD4+ T cell
402,B cell,B cell
403,Dendritic cell,CD14+ monocyte
404,Cytotoxic T cell,Cytotoxic T cell
405,Cytotoxic T cell,Natural killer cell
406,CD4+ T cell,CD4+ T cell
407,CD4+ T cell,CD4+ T cell
408,B cell,B cell
409,CD4+ T cell,CD4+ T cell
410,Cytotoxic T cell,CD4+ T cell
411,CD4+ T cell,CD4+ T cell
412,B cell,B cell
413,CD4+ T cell,CD4+ T cell
414,B cell,B cell
415,B cell,B cell
416,Cytotoxic T cell,CD14+ monocyte
417,B cell,B cell
418,B cell,B cell
419,CD4+ T cell,CD4+ T cell
420,B cell,B cell
421,Cytotoxic T cell,Cytotoxic T cell
422,CD4+ T cell,CD4+ T cell
423,Natural killer cell,Natural killer cell
424,CD4+ T cell,CD4+ T cell
425,CD4+ T cell,CD4+ T cell
426,Cytotoxic T cell,Cytotoxic T cell
427,Cytotoxic T cell,Cytotoxic T cell
428,CD14+ monocyte,CD14+ monocyte
429,Cytotoxic T cell,Cytotoxic T cell
430,Cytotoxic T cell,Cytotoxic T cell
431,Natural killer cell,Natural killer cell
432,CD4+ T cell,CD4+ T cell
433,CD4+ T cell,CD4+ T cell
434,CD14+ monocyte,CD14+ monocyte
435,CD4+ T cell,CD4+ T cell
436,Cytotoxic T cell,Cytotoxic T cell
437,CD4+ T cell,CD4+ T cell
438,CD4+ T cell,CD4+ T cell
439,Cytotoxic T cell,Cytotoxic T cell
440,Natural killer cell,Natural killer cell
441,Cytotoxic T cell,Natural killer cell
442,Cytotoxic T cell,CD4+ T cell
443,Natural killer cell,Natural killer cell
444,CD4+ T cell,CD4+ T cell
445,Cytotoxic T cell,Cytotoxic T cell
446,Cytotoxic T cell,Cytotoxic T cell
447,B cell,B cell
448,CD4+ T cell,Cytotoxic T cell
449,CD4+ T cell,CD4+ T cell
450,CD14+ monocyte,Plasmacytoid dendritic cell
451,Dendritic cell,CD14+ monocyte
452,Cytotoxic T cell,Cytotoxic T cell
453,Cytotoxic T cell,CD4+ T cell
454,CD4+ T cell,CD4+ T cell
455,Cytotoxic T cell,Cytotoxic T cell
456,Cytotoxic T cell,Cytotoxic T cell
457,CD14+ monocyte,CD14+ monocyte
458,Cytotoxic T cell,Cytotoxic T cell
459,B cell,B cell
460,CD14+ monocyte,CD14+ monocyte
461,Cytotoxic T cell,Cytotoxic T cell
462,CD4+ T cell,CD4+ T cell
463,B cell,CD4+ T cell
464,CD16+ monocyte,CD16+ monocyte
465,CD4+ T cell,CD4+ T cell
466,Cytotoxic T cell,Cytotoxic T cell
467,Natural killer cell,Natural killer cell
468,B cell,B cell
469,B cell,B cell
470,B cell,B cell
471,Cytotoxic T cell,Cytotoxic T cell
472,Cytotoxic T cell,Cytotoxic T cell
473,B cell,B cell
474,CD4+ T cell,CD4+ T cell
475,CD4+ T cell,CD4+ T cell
476,Cytotoxic T cell,Natural killer cell
477,Cytotoxic T cell,Cytotoxic T cell
478,B cell,B cell
479,Natural killer cell,Natural killer cell
480,B cell,B cell
481,CD4+ T cell,CD4+ T cell
482,Cytotoxic T cell,Cytotoxic T cell
483,B cell,B cell
484,Cytotoxic T cell,Cytotoxic T cell
485,CD14+ monocyte,Cytotoxic T cell
486,CD4+ T cell,CD4+ T cell
487,CD4+ T cell,CD4+ T cell
488,CD4+ T cell,CD4+ T cell
489,Cytotoxic T cell,Cytotoxic T cell
490,Cytotoxic T cell,Cytotoxic T cell
491,CD4+ T cell,CD4+ T cell
492,CD4+ T cell,CD4+ T cell
493,CD14+ monocyte,CD14+ monocyte
494,CD4+ T cell,CD4+ T cell
495,B cell,B cell
496,Cytotoxic T cell,Cytotoxic T cell
497,Natural killer cell,Cytotoxic T cell
498,Cytotoxic T cell,Cytotoxic T cell
499,B cell,B cell
500,Cytotoxic T cell,Cytotoxic T cell
501,CD4+ T cell,CD4+ T cell
502,Cytotoxic T cell,Cytotoxic T cell
503,Cytotoxic T cell,Cytotoxic T cell
504,CD4+ T cell,CD4+ T cell
505,CD14+ monocyte,CD14+ monocyte
506,B cell,B cell
507,CD4+ T cell,CD4+ T cell
508,B cell,B cell
509,CD4+ T cell,CD4+ T cell
510,Cytotoxic T cell,Natural killer cell
511,Cytotoxic T cell,Cytotoxic T cell
512,CD4+ T cell,CD4+ T cell
513,Cytotoxic T cell,Natural killer cell
514,B cell,B cell
515,Cytotoxic T cell,CD14+ monocyte
516,Natural killer cell,Natural killer cell
517,CD4+ T cell,CD4+ T cell
518,Cytotoxic T cell,Cytotoxic T cell
519,B cell,B cell
520,CD4+ T cell,CD4+ T cell
521,CD4+ T cell,CD4+ T cell
522,CD4+ T cell,CD4+ T cell
523,CD4+ T cell,CD4+ T cell
524,Natural killer cell,Natural killer cell
525,CD4+ T cell,CD4+ T cell
526,CD4+ T cell,CD4+ T cell
527,CD4+ T cell,CD4+ T cell
528,Cytotoxic T cell,Cytotoxic T cell
529,B cell,B cell
530,CD4+ T cell,CD4+ T cell
531,Natural killer cell,Natural killer cell
532,CD4+ T cell,CD4+ T cell
533,B cell,B cell
534,B cell,B cell
535,CD4+ T cell,CD4+ T cell
536,Cytotoxic T cell,Cytotoxic T cell
537,CD4+ T cell,CD4+ T cell
538,CD4+ T cell,CD4+ T cell
539,Cytotoxic T cell,Cytotoxic T cell
540,B cell,B cell
541,CD4+ T cell,CD4+ T cell
542,CD16+ monocyte,CD16+ monocyte
543,B cell,B cell
544,Cytotoxic T cell,Cytotoxic T cell
545,CD4+ T cell,CD4+ T cell
546,CD4+ T cell,CD4+ T cell
547,Cytotoxic T cell,Cytotoxic T cell
548,Cytotoxic T cell,Natural killer cell
549,Cytotoxic T cell,CD4+ T cell
550,Dendritic cell,Dendritic cell
551,CD16+ monocyte,CD16+ monocyte
552,CD16+ monocyte,CD16+ monocyte
553,B cell,B cell
554,CD4+ T cell,Cytotoxic T cell
555,Cytotoxic T cell,Cytotoxic T cell
556,B cell,B cell
557,CD14+ monocyte,CD16+ monocyte
558,B cell,B cell
559,CD4+ T cell,CD4+ T cell
560,B cell,B cell
561,B cell,B cell
562,CD14+ monocyte,CD16+ monocyte
563,CD4+ T cell,CD4+ T cell
564,Cytotoxic T cell,CD4+ T cell
565,CD4+ T cell,CD4+ T cell
566,B cell,B cell
567,CD16+ monocyte,CD16+ monocyte
568,CD4+ T cell,CD4+ T cell
569,CD4+ T cell,CD4+ T cell
570,CD16+ monocyte,CD16+ monocyte
571,CD4+ T cell,CD4+ T cell
572,CD14+ monocyte,CD14+ monocyte
573,Cytotoxic T cell,Cytotoxic T cell
574,Cytotoxic T cell,Cytotoxic T cell
575,B cell,B cell
576,Cytotoxic T cell,CD4+ T cell
577,B cell,B cell
578,CD4+ T cell,CD4+ T cell
579,B cell,B cell
580,Cytotoxic T cell,Cytotoxic T cell
581,CD4+ T cell,CD4+ T cell
582,CD14+ monocyte,CD14+ monocyte
583,Natural killer cell,Natural killer cell
584,B cell,B cell
585,Cytotoxic T cell,Cytotoxic T cell
586,Cytotoxic T cell,Cytotoxic T cell
587,CD4+ T cell,CD4+ T cell
588,CD4+ T cell,CD4+ T cell
589,Cytotoxic T cell,Cytotoxic T cell
590,CD4+ T cell,CD4+ T cell
591,Cytotoxic T cell,Natural killer cell
592,Cytotoxic T cell,Cytotoxic T cell
593,Cytotoxic T cell,Cytotoxic T cell
594,CD4+ T cell,CD4+ T cell
595,Cytotoxic T cell,Cytotoxic T cell
596,CD4+ T cell,CD4+ T cell
597,CD4+ T cell,CD4+ T cell
598,Cytotoxic T cell,Cytotoxic T cell
599,Cytotoxic T cell,B cell
600,B cell,B cell
601,CD4+ T cell,CD4+ T cell
602,CD4+ T cell,CD14+ monocyte
603,Cytotoxic T cell,Natural killer cell
604,Cytotoxic T cell,Cytotoxic T cell
605,CD4+ T cell,CD4+ T cell
606,CD4+ T cell,Cytotoxic T cell
607,CD4+ T cell,CD4+ T cell
608,Cytotoxic T cell,CD4+ T cell
609,Natural killer cell,Natural killer cell
610,Cytotoxic T cell,Cytotoxic T cell
611,CD4+ T cell,CD4+ T cell
612,B cell,B cell
613,Cytotoxic T cell,Natural killer cell
614,Cytotoxic T cell,Cytotoxic T cell
615,CD4+ T cell,CD4+ T cell
616,Cytotoxic T cell,Cytotoxic T cell
617,Cytotoxic T cell,Cytotoxic T cell
618,CD14+ monocyte,CD14+ monocyte
619,B cell,B cell
620,Plasmacytoid dendritic cell,Plasmacytoid dendritic cell
621,CD14+ monocyte,CD14+ monocyte
622,Cytotoxic T cell,Cytotoxic T cell
623,Cytotoxic T cell,Cytotoxic T cell
624,Cytotoxic T cell,Cytotoxic T cell
625,Natural killer cell,Natural killer cell
626,B cell,B cell
627,Cytotoxic T cell,Cytotoxic T cell
628,Cytotoxic T cell,Cytotoxic T cell
629,Cytotoxic T cell,Cytotoxic T cell
630,Cytotoxic T cell,Cytotoxic T cell
631,B cell,B cell
632,CD16+ monocyte,CD14+ monocyte
633,CD14+ monocyte,CD14+ monocyte
634,B cell,B cell
635,CD4+ T cell,CD4+ T cell
636,Natural killer cell,Natural killer cell
637,CD4+ T cell,CD4+ T cell
638,CD4+ T cell,CD4+ T cell
639,Cytotoxic T cell,Cytotoxic T cell
640,Cytotoxic T cell,Natural killer cell
641,Cytotoxic T cell,Cytotoxic T cell
642,Cytotoxic T cell,Cytotoxic T cell
643,Cytotoxic T cell,Cytotoxic T cell
644,B cell,B cell
645,CD14+ monocyte,CD16+ monocyte
646,CD14+ monocyte,CD14+ monocyte
647,Natural killer cell,Natural killer cell
648,Cytotoxic T cell,Cytotoxic T cell
649,Cytotoxic T cell,Cytotoxic T cell
650,B cell,B cell
651,CD14+ monocyte,CD14+ monocyte
652,Cytotoxic T cell,Cytotoxic T cell
653,CD4+ T cell,CD4+ T cell
654,CD4+ T cell,CD4+ T cell
655,CD4+ T cell,CD4+ T cell
656,CD4+ T cell,CD4+ T cell
657,Cytotoxic T cell,Natural killer cell
658,Cytotoxic T cell,Cytotoxic T cell
659,B cell,B cell
660,Cytotoxic T cell,Cytotoxic T cell
661,B cell,B cell
662,CD4+ T cell,CD4+ T cell
663,Cytotoxic T cell,Cytotoxic T cell
664,Cytotoxic T cell,CD4+ T cell
665,Cytotoxic T cell,Cytotoxic T cell
666,Cytotoxic T cell,CD4+ T cell
667,Cytotoxic T cell,Cytotoxic T cell
668,Natural killer cell,Natural killer cell
669,CD4+ T cell,CD4+ T cell
670,CD14+ monocyte,CD14+ monocyte
671,CD14+ monocyte,CD14+ monocyte
672,CD4+ T cell,CD4+ T cell
673,CD4+ T cell,CD4+ T cell
674,Cytotoxic T cell,CD4+ T cell
675,CD4+ T cell,CD4+ T cell
676,Cytotoxic T cell,Cytotoxic T cell
677,Cytotoxic T cell,Cytotoxic T cell
678,CD4+ T cell,CD4+ T cell
679,Cytotoxic T cell,Cytotoxic T cell
680,B cell,B cell
681,CD4+ T cell,CD4+ T cell
682,CD4+ T cell,CD4+ T cell
683,Cytotoxic T cell,CD4+ T cell
684,B cell,B cell
685,B cell,B cell
686,Cytotoxic T cell,Cytotoxic T cell
687,CD16+ monocyte,CD16+ monocyte
688,Cytotoxic T cell,Cytotoxic T cell
689,CD4+ T cell,CD4+ T cell
690,CD4+ T cell,CD4+ T cell
691,Cytotoxic T cell,Cytotoxic T cell
692,B cell,B cell
693,Cytotoxic T cell,Cytotoxic T cell
694,CD4+ T cell,CD4+ T cell
695,B cell,B cell
696,Cytotoxic T cell,CD16+ monocyte
697,CD14+ monocyte,CD14+ monocyte
698,Cytotoxic T cell,Cytotoxic T cell
699,Cytotoxic T cell,Cytotoxic T cell
700,CD14+ monocyte,CD14+ monocyte
701,B cell,B cell
702,Cytotoxic T cell,Cytotoxic T cell
703,CD4+ T cell,CD4+ T cell
704,Cytotoxic T cell,Cytotoxic T cell
705,CD14+ monocyte,Dendritic cell
706,Cytotoxic T cell,Cytotoxic T cell
707,CD14+ monocyte,CD14+ monocyte
708,B cell,B cell
709,B cell,B cell
710,CD4+ T cell,CD4+ T cell
711,B cell,B cell
712,B cell,B cell
713,B cell,B cell
714,CD4+ T cell,CD4+ T cell
715,CD14+ monocyte,CD16+ monocyte
716,CD14+ monocyte,CD16+ monocyte
717,B cell,B cell
718,Cytotoxic T cell,Cytotoxic T cell
719,Cytotoxic T cell,Cytotoxic T cell
720,Natural killer cell,Natural killer cell
721,CD14+ monocyte,CD16+ monocyte
722,CD4+ T cell,CD4+ T cell
723,CD4+ T cell,CD4+ T cell
724,CD4+ T cell,CD4+ T cell
725,CD4+ T cell,CD4+ T cell
726,Cytotoxic T cell,Cytotoxic T cell
727,Cytotoxic T cell,CD4+ T cell
