,pred,true
204,CD14+ monocyte,CD14+ monocyte
205,B cell,B cell
206,CD4+ T cell,CD4+ T cell
207,Cytotoxic T cell,Cytotoxic T cell
208,CD14+ monocyte,CD14+ monocyte
209,Cytotoxic T cell,Cytotoxic T cell
210,CD16+ monocyte,CD14+ monocyte
211,Cytotoxic T cell,Cytotoxic T cell
212,CD4+ T cell,CD4+ T cell
213,CD14+ monocyte,CD14+ monocyte
214,CD4+ T cell,CD4+ T cell
215,CD4+ T cell,CD14+ monocyte
216,CD14+ monocyte,CD14+ monocyte
217,CD4+ T cell,CD4+ T cell
218,CD4+ T cell,Megakaryocyte
219,CD14+ monocyte,CD14+ monocyte
220,CD4+ T cell,CD4+ T cell
221,CD14+ monocyte,CD14+ monocyte
222,CD4+ T cell,CD4+ T cell
223,Cytotoxic T cell,CD14+ monocyte
224,Cytotoxic T cell,Cytotoxic T cell
225,Megakaryocyte,Megakaryocyte
226,CD14+ monocyte,CD14+ monocyte
227,CD14+ monocyte,CD14+ monocyte
228,CD4+ T cell,CD4+ T cell
229,CD4+ T cell,CD4+ T cell
230,CD14+ monocyte,CD14+ monocyte
231,CD14+ monocyte,CD14+ monocyte
232,CD14+ monocyte,CD14+ monocyte
233,CD14+ monocyte,CD14+ monocyte
234,Cytotoxic T cell,Cytotoxic T cell
235,B cell,B cell
236,CD4+ T cell,CD4+ T cell
237,CD4+ T cell,Cytotoxic T cell
238,CD4+ T cell,CD4+ T cell
239,Cytotoxic T cell,Cytotoxic T cell
240,B cell,B cell
241,Cytotoxic T cell,CD4+ T cell
242,CD4+ T cell,CD4+ T cell
243,CD14+ monocyte,CD14+ monocyte
244,CD4+ T cell,CD4+ T cell
245,CD4+ T cell,Cytotoxic T cell
246,Cytotoxic T cell,CD14+ monocyte
247,CD14+ monocyte,CD14+ monocyte
248,CD14+ monocyte,CD14+ monocyte
249,CD14+ monocyte,CD14+ monocyte
250,CD4+ T cell,CD4+ T cell
251,CD14+ monocyte,CD14+ monocyte
252,CD14+ monocyte,CD14+ monocyte
253,CD14+ monocyte,CD14+ monocyte
254,CD14+ monocyte,CD14+ monocyte
255,Cytotoxic T cell,Cytotoxic T cell
256,CD14+ monocyte,CD14+ monocyte
257,Cytotoxic T cell,Cytotoxic T cell
258,Cytotoxic T cell,Cytotoxic T cell
259,CD4+ T cell,CD4+ T cell
260,B cell,B cell
261,CD14+ monocyte,CD14+ monocyte
262,CD14+ monocyte,CD14+ monocyte
263,B cell,B cell
264,CD14+ monocyte,CD14+ monocyte
265,CD14+ monocyte,CD14+ monocyte
266,Cytotoxic T cell,Cytotoxic T cell
267,CD4+ T cell,CD4+ T cell
268,CD14+ monocyte,CD14+ monocyte
269,Plasmacytoid dendritic cell,Plasmacytoid dendritic cell
270,CD14+ monocyte,CD14+ monocyte
271,Cytotoxic T cell,CD4+ T cell
272,Cytotoxic T cell,Cytotoxic T cell
273,Cytotoxic T cell,Cytotoxic T cell
274,Natural killer cell,Cytotoxic T cell
275,Cytotoxic T cell,Cytotoxic T cell
276,CD4+ T cell,CD4+ T cell
277,Cytotoxic T cell,Cytotoxic T cell
278,CD14+ monocyte,CD14+ monocyte
279,CD4+ T cell,CD4+ T cell
280,Natural killer cell,Cytotoxic T cell
281,Cytotoxic T cell,Cytotoxic T cell
282,CD4+ T cell,CD4+ T cell
283,B cell,B cell
284,Natural killer cell,Cytotoxic T cell
285,CD14+ monocyte,CD14+ monocyte
286,B cell,B cell
287,B cell,B cell
288,CD4+ T cell,CD4+ T cell
289,Megakaryocyte,Megakaryocyte
290,CD4+ T cell,Cytotoxic T cell
291,CD4+ T cell,CD4+ T cell
292,CD14+ monocyte,CD14+ monocyte
293,CD14+ monocyte,CD14+ monocyte
294,CD14+ monocyte,CD14+ monocyte
295,CD14+ monocyte,CD14+ monocyte
296,Natural killer cell,Cytotoxic T cell
297,CD4+ T cell,Cytotoxic T cell
298,CD14+ monocyte,CD14+ monocyte
299,B cell,B cell
300,CD4+ T cell,Cytotoxic T cell
301,Cytotoxic T cell,CD4+ T cell
302,B cell,B cell
303,Cytotoxic T cell,Cytotoxic T cell
304,CD14+ monocyte,CD14+ monocyte
305,CD4+ T cell,CD4+ T cell
306,CD4+ T cell,CD4+ T cell
307,CD14+ monocyte,CD14+ monocyte
308,CD4+ T cell,Cytotoxic T cell
309,CD4+ T cell,CD4+ T cell
310,Cytotoxic T cell,Cytotoxic T cell
311,CD4+ T cell,CD4+ T cell
312,CD4+ T cell,Cytotoxic T cell
313,CD4+ T cell,Cytotoxic T cell
314,Cytotoxic T cell,Cytotoxic T cell
315,B cell,B cell
316,CD14+ monocyte,CD14+ monocyte
317,CD4+ T cell,CD4+ T cell
318,CD4+ T cell,Cytotoxic T cell
319,Cytotoxic T cell,Cytotoxic T cell
320,B cell,B cell
321,Cytotoxic T cell,Cytotoxic T cell
322,CD14+ monocyte,CD14+ monocyte
323,CD14+ monocyte,Cytotoxic T cell
324,CD14+ monocyte,CD14+ monocyte
325,CD14+ monocyte,CD14+ monocyte
326,B cell,B cell
327,Cytotoxic T cell,CD14+ monocyte
328,CD4+ T cell,Cytotoxic T cell
329,CD14+ monocyte,CD14+ monocyte
330,CD14+ monocyte,CD14+ monocyte
331,B cell,B cell
332,CD14+ monocyte,CD14+ monocyte
333,Cytotoxic T cell,Cytotoxic T cell
334,B cell,B cell
335,CD14+ monocyte,CD14+ monocyte
336,CD4+ T cell,CD4+ T cell
337,Cytotoxic T cell,CD4+ T cell
338,Dendritic cell,Dendritic cell
339,CD14+ monocyte,CD14+ monocyte
340,CD4+ T cell,CD4+ T cell
341,CD14+ monocyte,CD14+ monocyte
342,CD4+ T cell,CD4+ T cell
343,Cytotoxic T cell,CD4+ T cell
344,CD14+ monocyte,CD14+ monocyte
345,CD4+ T cell,Cytotoxic T cell
346,Cytotoxic T cell,Cytotoxic T cell
347,CD4+ T cell,Cytotoxic T cell
348,CD4+ T cell,Cytotoxic T cell
349,CD14+ monocyte,CD14+ monocyte
350,CD14+ monocyte,CD14+ monocyte
351,B cell,B cell
352,CD4+ T cell,CD4+ T cell
353,CD14+ monocyte,CD14+ monocyte
354,Cytotoxic T cell,Cytotoxic T cell
355,CD14+ monocyte,CD14+ monocyte
356,CD14+ monocyte,CD14+ monocyte
357,B cell,B cell
358,B cell,B cell
359,Cytotoxic T cell,Cytotoxic T cell
360,Cytotoxic T cell,Cytotoxic T cell
361,Cytotoxic T cell,Cytotoxic T cell
362,Cytotoxic T cell,Cytotoxic T cell
363,Cytotoxic T cell,Cytotoxic T cell
364,B cell,B cell
365,CD14+ monocyte,CD14+ monocyte
366,CD4+ T cell,CD4+ T cell
367,B cell,B cell
368,CD4+ T cell,Cytotoxic T cell
369,CD14+ monocyte,CD14+ monocyte
370,CD4+ T cell,Cytotoxic T cell
371,CD14+ monocyte,CD14+ monocyte
372,Cytotoxic T cell,Cytotoxic T cell
373,CD14+ monocyte,CD14+ monocyte
374,B cell,B cell
375,CD14+ monocyte,CD14+ monocyte
376,Cytotoxic T cell,Cytotoxic T cell
377,CD14+ monocyte,CD14+ monocyte
378,B cell,CD4+ T cell
379,CD14+ monocyte,CD14+ monocyte
380,Cytotoxic T cell,Cytotoxic T cell
381,B cell,B cell
382,CD14+ monocyte,CD14+ monocyte
383,CD4+ T cell,Cytotoxic T cell
384,CD14+ monocyte,CD14+ monocyte
385,Cytotoxic T cell,Cytotoxic T cell
386,B cell,B cell
387,B cell,B cell
388,CD4+ T cell,Cytotoxic T cell
389,CD4+ T cell,CD4+ T cell
390,Cytotoxic T cell,Cytotoxic T cell
391,Megakaryocyte,Megakaryocyte
392,CD4+ T cell,CD4+ T cell
393,B cell,B cell
394,CD14+ monocyte,CD14+ monocyte
395,Cytotoxic T cell,CD4+ T cell
396,Cytotoxic T cell,CD4+ T cell
397,B cell,B cell
398,Cytotoxic T cell,Cytotoxic T cell
399,CD14+ monocyte,CD14+ monocyte
400,Cytotoxic T cell,Cytotoxic T cell
401,CD14+ monocyte,CD14+ monocyte
402,CD14+ monocyte,CD14+ monocyte
403,CD4+ T cell,Cytotoxic T cell
404,CD4+ T cell,Cytotoxic T cell
405,Cytotoxic T cell,Cytotoxic T cell
406,Cytotoxic T cell,Cytotoxic T cell
407,CD4+ T cell,Cytotoxic T cell
408,CD4+ T cell,CD14+ monocyte
409,B cell,B cell
410,CD14+ monocyte,CD14+ monocyte
411,Cytotoxic T cell,Cytotoxic T cell
412,Cytotoxic T cell,Cytotoxic T cell
413,CD14+ monocyte,CD14+ monocyte
414,CD16+ monocyte,CD14+ monocyte
415,CD4+ T cell,CD4+ T cell
416,CD14+ monocyte,CD14+ monocyte
417,CD14+ monocyte,CD14+ monocyte
418,CD4+ T cell,Cytotoxic T cell
419,CD14+ monocyte,CD4+ T cell
420,CD14+ monocyte,CD14+ monocyte
421,CD4+ T cell,Cytotoxic T cell
422,CD4+ T cell,CD4+ T cell
423,Cytotoxic T cell,B cell
424,B cell,B cell
425,CD14+ monocyte,CD14+ monocyte
426,Cytotoxic T cell,Cytotoxic T cell
427,CD4+ T cell,CD4+ T cell
428,CD4+ T cell,Cytotoxic T cell
429,Megakaryocyte,Megakaryocyte
430,B cell,B cell
431,CD14+ monocyte,CD14+ monocyte
432,CD4+ T cell,Cytotoxic T cell
433,Cytotoxic T cell,Cytotoxic T cell
434,CD4+ T cell,CD4+ T cell
435,CD14+ monocyte,Cytotoxic T cell
436,CD14+ monocyte,CD14+ monocyte
437,CD14+ monocyte,CD14+ monocyte
438,CD4+ T cell,Cytotoxic T cell
439,Cytotoxic T cell,Cytotoxic T cell
440,CD14+ monocyte,CD14+ monocyte
441,CD14+ monocyte,CD14+ monocyte
442,CD14+ monocyte,CD14+ monocyte
443,CD14+ monocyte,CD14+ monocyte
444,CD14+ monocyte,CD14+ monocyte
445,CD14+ monocyte,CD14+ monocyte
446,Cytotoxic T cell,Cytotoxic T cell
447,Cytotoxic T cell,Cytotoxic T cell
448,CD14+ monocyte,CD14+ monocyte
449,CD14+ monocyte,CD14+ monocyte
450,CD16+ monocyte,CD14+ monocyte
451,CD14+ monocyte,CD14+ monocyte
452,Cytotoxic T cell,Cytotoxic T cell
453,Dendritic cell,Dendritic cell
454,CD14+ monocyte,CD14+ monocyte
455,CD14+ monocyte,CD14+ monocyte
456,Cytotoxic T cell,Cytotoxic T cell
457,CD14+ monocyte,CD14+ monocyte
458,B cell,B cell
459,CD4+ T cell,Cytotoxic T cell
460,CD14+ monocyte,CD14+ monocyte
461,Cytotoxic T cell,CD4+ T cell
462,CD4+ T cell,Cytotoxic T cell
463,CD4+ T cell,B cell
464,CD4+ T cell,Cytotoxic T cell
465,CD4+ T cell,Cytotoxic T cell
466,CD14+ monocyte,CD14+ monocyte
467,Cytotoxic T cell,Cytotoxic T cell
468,CD14+ monocyte,CD14+ monocyte
469,CD14+ monocyte,CD14+ monocyte
470,CD14+ monocyte,Plasmacytoid dendritic cell
471,CD14+ monocyte,CD14+ monocyte
472,CD4+ T cell,CD14+ monocyte
473,B cell,B cell
474,CD4+ T cell,CD4+ T cell
475,Cytotoxic T cell,Cytotoxic T cell
476,CD4+ T cell,CD4+ T cell
477,Cytotoxic T cell,Cytotoxic T cell
478,CD14+ monocyte,CD14+ monocyte
479,Cytotoxic T cell,Cytotoxic T cell
480,CD4+ T cell,CD4+ T cell
481,B cell,B cell
482,CD4+ T cell,CD4+ T cell
483,Cytotoxic T cell,Cytotoxic T cell
484,CD16+ monocyte,CD14+ monocyte
485,CD14+ monocyte,CD14+ monocyte
486,Cytotoxic T cell,CD4+ T cell
487,B cell,B cell
488,Cytotoxic T cell,Cytotoxic T cell
489,CD14+ monocyte,CD14+ monocyte
490,Cytotoxic T cell,Cytotoxic T cell
491,CD14+ monocyte,CD14+ monocyte
492,Cytotoxic T cell,Cytotoxic T cell
493,CD14+ monocyte,CD14+ monocyte
494,Natural killer cell,Cytotoxic T cell
495,B cell,CD14+ monocyte
496,B cell,B cell
497,CD14+ monocyte,CD14+ monocyte
498,CD4+ T cell,CD4+ T cell
499,Cytotoxic T cell,Cytotoxic T cell
500,CD4+ T cell,CD4+ T cell
501,B cell,B cell
502,Cytotoxic T cell,Cytotoxic T cell
503,Cytotoxic T cell,Cytotoxic T cell
504,CD14+ monocyte,CD14+ monocyte
505,CD4+ T cell,Cytotoxic T cell
506,Dendritic cell,CD14+ monocyte
507,CD16+ monocyte,CD14+ monocyte
508,CD14+ monocyte,CD14+ monocyte
509,Cytotoxic T cell,Cytotoxic T cell
510,CD14+ monocyte,CD14+ monocyte
511,B cell,B cell
512,CD14+ monocyte,CD14+ monocyte
513,Cytotoxic T cell,Cytotoxic T cell
514,B cell,B cell
515,CD14+ monocyte,CD14+ monocyte
516,B cell,B cell
517,CD14+ monocyte,CD14+ monocyte
518,CD4+ T cell,Cytotoxic T cell
519,CD14+ monocyte,CD14+ monocyte
520,Cytotoxic T cell,Cytotoxic T cell
521,CD14+ monocyte,CD14+ monocyte
522,CD4+ T cell,CD4+ T cell
523,B cell,B cell
524,CD4+ T cell,Cytotoxic T cell
525,CD14+ monocyte,CD14+ monocyte
526,Cytotoxic T cell,Cytotoxic T cell
527,B cell,B cell
528,CD14+ monocyte,CD14+ monocyte
529,Cytotoxic T cell,Cytotoxic T cell
530,CD4+ T cell,CD4+ T cell
531,CD14+ monocyte,CD14+ monocyte
532,CD14+ monocyte,CD14+ monocyte
533,Megakaryocyte,Megakaryocyte
534,CD14+ monocyte,CD14+ monocyte
535,Cytotoxic T cell,Cytotoxic T cell
536,CD14+ monocyte,CD14+ monocyte
537,Cytotoxic T cell,Cytotoxic T cell
538,CD14+ monocyte,CD14+ monocyte
539,Cytotoxic T cell,Cytotoxic T cell
540,CD14+ monocyte,CD14+ monocyte
541,B cell,B cell
542,CD14+ monocyte,CD14+ monocyte
543,Cytotoxic T cell,Cytotoxic T cell
544,Cytotoxic T cell,Cytotoxic T cell
545,CD16+ monocyte,CD14+ monocyte
546,B cell,B cell
547,CD14+ monocyte,CD14+ monocyte
548,Cytotoxic T cell,Cytotoxic T cell
549,CD14+ monocyte,B cell
550,CD14+ monocyte,CD14+ monocyte
551,B cell,B cell
552,CD4+ T cell,Cytotoxic T cell
553,CD4+ T cell,CD4+ T cell
554,Megakaryocyte,Megakaryocyte
555,CD4+ T cell,Cytotoxic T cell
556,CD14+ monocyte,CD14+ monocyte
557,CD14+ monocyte,CD14+ monocyte
558,CD4+ T cell,CD4+ T cell
559,CD4+ T cell,Cytotoxic T cell
560,CD14+ monocyte,CD14+ monocyte
561,Cytotoxic T cell,Cytotoxic T cell
562,Cytotoxic T cell,Cytotoxic T cell
563,Natural killer cell,Cytotoxic T cell
564,CD4+ T cell,CD4+ T cell
565,B cell,B cell
566,CD4+ T cell,CD4+ T cell
567,Cytotoxic T cell,Cytotoxic T cell
568,Cytotoxic T cell,CD4+ T cell
569,CD14+ monocyte,CD14+ monocyte
570,CD4+ T cell,CD4+ T cell
571,CD4+ T cell,CD4+ T cell
572,B cell,B cell
573,CD14+ monocyte,CD14+ monocyte
574,CD16+ monocyte,CD14+ monocyte
575,CD4+ T cell,CD4+ T cell
576,B cell,B cell
577,CD14+ monocyte,CD14+ monocyte
578,CD14+ monocyte,CD14+ monocyte
579,CD4+ T cell,Cytotoxic T cell
580,CD4+ T cell,CD4+ T cell
581,CD4+ T cell,CD4+ T cell
582,Cytotoxic T cell,Cytotoxic T cell
583,B cell,B cell
584,Cytotoxic T cell,Cytotoxic T cell
585,CD4+ T cell,CD4+ T cell
586,CD14+ monocyte,CD14+ monocyte
587,Cytotoxic T cell,Cytotoxic T cell
588,B cell,B cell
589,B cell,B cell
590,CD14+ monocyte,CD14+ monocyte
591,CD14+ monocyte,CD14+ monocyte
592,B cell,B cell
593,CD4+ T cell,Cytotoxic T cell
594,CD14+ monocyte,CD14+ monocyte
595,CD4+ T cell,CD4+ T cell
596,Cytotoxic T cell,Cytotoxic T cell
597,B cell,B cell
598,CD14+ monocyte,CD14+ monocyte
599,CD14+ monocyte,CD14+ monocyte
600,CD4+ T cell,CD4+ T cell
601,CD14+ monocyte,CD14+ monocyte
602,Cytotoxic T cell,Cytotoxic T cell
603,CD14+ monocyte,CD14+ monocyte
604,B cell,B cell
605,B cell,B cell
606,CD4+ T cell,CD14+ monocyte
607,CD14+ monocyte,CD14+ monocyte
608,Cytotoxic T cell,Cytotoxic T cell
609,CD14+ monocyte,CD14+ monocyte
610,CD14+ monocyte,CD14+ monocyte
611,Dendritic cell,Dendritic cell
612,CD14+ monocyte,CD14+ monocyte
613,Cytotoxic T cell,Cytotoxic T cell
614,Cytotoxic T cell,Cytotoxic T cell
615,B cell,B cell
616,CD14+ monocyte,CD14+ monocyte
617,CD4+ T cell,CD4+ T cell
618,CD4+ T cell,CD14+ monocyte
619,CD14+ monocyte,CD14+ monocyte
620,B cell,B cell
621,B cell,B cell
622,CD14+ monocyte,CD14+ monocyte
623,B cell,B cell
624,CD4+ T cell,Cytotoxic T cell
625,CD14+ monocyte,CD14+ monocyte
626,Cytotoxic T cell,Cytotoxic T cell
627,Cytotoxic T cell,Cytotoxic T cell
628,CD4+ T cell,Cytotoxic T cell
629,Cytotoxic T cell,Cytotoxic T cell
630,Cytotoxic T cell,Cytotoxic T cell
631,CD14+ monocyte,CD14+ monocyte
632,CD14+ monocyte,CD14+ monocyte
633,Cytotoxic T cell,Cytotoxic T cell
634,CD14+ monocyte,CD14+ monocyte
635,Cytotoxic T cell,Cytotoxic T cell
636,Cytotoxic T cell,Cytotoxic T cell
637,CD4+ T cell,CD4+ T cell
638,Cytotoxic T cell,Cytotoxic T cell
639,CD14+ monocyte,CD14+ monocyte
640,Cytotoxic T cell,Cytotoxic T cell
641,CD4+ T cell,CD4+ T cell
642,CD14+ monocyte,CD14+ monocyte
643,CD4+ T cell,CD4+ T cell
644,B cell,B cell
645,Cytotoxic T cell,Cytotoxic T cell
646,CD14+ monocyte,CD14+ monocyte
647,CD14+ monocyte,CD14+ monocyte
648,CD4+ T cell,CD4+ T cell
649,CD14+ monocyte,CD14+ monocyte
650,CD14+ monocyte,CD14+ monocyte
651,CD4+ T cell,CD4+ T cell
652,Cytotoxic T cell,Cytotoxic T cell
653,CD14+ monocyte,CD14+ monocyte
654,B cell,B cell
655,CD4+ T cell,Cytotoxic T cell
656,CD14+ monocyte,CD14+ monocyte
657,CD14+ monocyte,CD14+ monocyte
658,B cell,B cell
659,CD14+ monocyte,Dendritic cell
660,CD4+ T cell,CD4+ T cell
661,Cytotoxic T cell,CD4+ T cell
662,Cytotoxic T cell,CD4+ T cell
663,B cell,CD4+ T cell
664,CD4+ T cell,Cytotoxic T cell
665,CD14+ monocyte,CD14+ monocyte
666,CD14+ monocyte,CD14+ monocyte
667,B cell,B cell
668,CD4+ T cell,CD4+ T cell
669,CD14+ monocyte,Plasmacytoid dendritic cell
670,CD14+ monocyte,CD14+ monocyte
671,CD4+ T cell,CD4+ T cell
672,Cytotoxic T cell,Cytotoxic T cell
673,Cytotoxic T cell,Cytotoxic T cell
674,Cytotoxic T cell,Cytotoxic T cell
675,B cell,B cell
676,B cell,B cell
677,CD4+ T cell,CD4+ T cell
678,CD4+ T cell,CD4+ T cell
679,CD14+ monocyte,CD14+ monocyte
680,CD14+ monocyte,CD14+ monocyte
681,CD14+ monocyte,CD14+ monocyte
682,Cytotoxic T cell,Cytotoxic T cell
683,CD14+ monocyte,CD14+ monocyte
684,Cytotoxic T cell,CD4+ T cell
685,CD4+ T cell,CD4+ T cell
