,pred,true
280,CD14+ monocyte,Dendritic cell
281,Cytotoxic T cell,Cytotoxic T cell
282,CD4+ T cell,Cytotoxic T cell
283,CD14+ monocyte,CD14+ monocyte
284,CD4+ T cell,CD4+ T cell
285,CD4+ T cell,Cytotoxic T cell
286,Cytotoxic T cell,Cytotoxic T cell
287,Cytotoxic T cell,Cytotoxic T cell
288,B cell,B cell
289,B cell,B cell
290,CD14+ monocyte,CD16+ monocyte
291,Cytotoxic T cell,Cytotoxic T cell
292,Cytotoxic T cell,Cytotoxic T cell
293,CD14+ monocyte,Megakaryocyte
294,CD4+ T cell,CD4+ T cell
295,Cytotoxic T cell,Cytotoxic T cell
296,CD4+ T cell,CD4+ T cell
297,B cell,B cell
298,CD4+ T cell,Cytotoxic T cell
299,Cytotoxic T cell,Cytotoxic T cell
300,CD14+ monocyte,CD14+ monocyte
301,CD4+ T cell,CD4+ T cell
302,CD4+ T cell,CD4+ T cell
303,CD4+ T cell,CD4+ T cell
304,CD4+ T cell,CD4+ T cell
305,CD4+ T cell,CD4+ T cell
306,B cell,B cell
307,CD4+ T cell,CD4+ T cell
308,Cytotoxic T cell,Natural killer cell
309,B cell,B cell
310,Cytotoxic T cell,Cytotoxic T cell
311,CD14+ monocyte,CD16+ monocyte
312,CD14+ monocyte,CD14+ monocyte
313,Cytotoxic T cell,Natural killer cell
314,CD14+ monocyte,CD14+ monocyte
315,CD4+ T cell,CD4+ T cell
316,CD4+ T cell,CD4+ T cell
317,Cytotoxic T cell,Cytotoxic T cell
318,B cell,B cell
319,CD4+ T cell,CD4+ T cell
320,CD14+ monocyte,CD14+ monocyte
321,CD14+ monocyte,CD14+ monocyte
322,Natural killer cell,Natural killer cell
323,Cytotoxic T cell,Cytotoxic T cell
324,Cytotoxic T cell,Cytotoxic T cell
325,CD14+ monocyte,CD14+ monocyte
326,CD4+ T cell,CD4+ T cell
327,CD14+ monocyte,CD14+ monocyte
328,Cytotoxic T cell,Cytotoxic T cell
329,Cytotoxic T cell,Cytotoxic T cell
330,Cytotoxic T cell,Cytotoxic T cell
331,CD4+ T cell,CD4+ T cell
332,CD4+ T cell,Natural killer cell
333,Cytotoxic T cell,Cytotoxic T cell
334,CD4+ T cell,CD4+ T cell
335,Cytotoxic T cell,Cytotoxic T cell
336,B cell,B cell
337,CD14+ monocyte,CD14+ monocyte
338,CD4+ T cell,Cytotoxic T cell
339,Cytotoxic T cell,CD4+ T cell
340,CD4+ T cell,CD4+ T cell
341,CD14+ monocyte,CD14+ monocyte
342,CD14+ monocyte,CD14+ monocyte
343,CD4+ T cell,Cytotoxic T cell
344,CD14+ monocyte,CD14+ monocyte
345,B cell,B cell
346,CD4+ T cell,CD4+ T cell
347,CD14+ monocyte,CD14+ monocyte
348,CD4+ T cell,CD4+ T cell
349,B cell,B cell
350,Cytotoxic T cell,Cytotoxic T cell
351,Cytotoxic T cell,Cytotoxic T cell
352,CD4+ T cell,Cytotoxic T cell
353,Natural killer cell,Natural killer cell
354,Cytotoxic T cell,Natural killer cell
355,B cell,B cell
356,CD14+ monocyte,CD16+ monocyte
357,Cytotoxic T cell,Cytotoxic T cell
358,CD4+ T cell,Cytotoxic T cell
359,B cell,B cell
360,CD4+ T cell,CD4+ T cell
361,Cytotoxic T cell,Cytotoxic T cell
362,B cell,B cell
363,B cell,B cell
364,Cytotoxic T cell,Natural killer cell
365,CD14+ monocyte,Dendritic cell
366,Cytotoxic T cell,Cytotoxic T cell
367,B cell,B cell
368,CD4+ T cell,CD4+ T cell
369,CD4+ T cell,CD4+ T cell
370,B cell,B cell
371,Cytotoxic T cell,Natural killer cell
372,CD4+ T cell,Cytotoxic T cell
373,CD4+ T cell,CD4+ T cell
374,CD14+ monocyte,CD14+ monocyte
375,CD4+ T cell,Cytotoxic T cell
376,CD4+ T cell,CD4+ T cell
377,CD4+ T cell,CD4+ T cell
378,B cell,B cell
379,B cell,B cell
380,Cytotoxic T cell,Cytotoxic T cell
381,CD4+ T cell,CD4+ T cell
382,CD4+ T cell,CD4+ T cell
383,CD14+ monocyte,CD4+ T cell
384,CD14+ monocyte,CD14+ monocyte
385,CD4+ T cell,Cytotoxic T cell
386,CD14+ monocyte,CD14+ monocyte
387,CD4+ T cell,CD4+ T cell
388,CD4+ T cell,Cytotoxic T cell
389,Cytotoxic T cell,Cytotoxic T cell
390,CD4+ T cell,CD4+ T cell
391,CD4+ T cell,CD4+ T cell
392,Cytotoxic T cell,Natural killer cell
393,Cytotoxic T cell,Cytotoxic T cell
394,CD14+ monocyte,CD14+ monocyte
395,CD14+ monocyte,CD14+ monocyte
396,CD4+ T cell,CD4+ T cell
397,CD4+ T cell,CD4+ T cell
398,CD4+ T cell,Cytotoxic T cell
399,Cytotoxic T cell,Natural killer cell
400,CD4+ T cell,CD4+ T cell
401,CD4+ T cell,Cytotoxic T cell
402,Cytotoxic T cell,Cytotoxic T cell
403,B cell,B cell
404,Cytotoxic T cell,Cytotoxic T cell
405,Cytotoxic T cell,Cytotoxic T cell
406,CD4+ T cell,CD4+ T cell
407,Cytotoxic T cell,Cytotoxic T cell
408,CD14+ monocyte,CD14+ monocyte
409,CD14+ monocyte,CD14+ monocyte
410,Cytotoxic T cell,Cytotoxic T cell
411,Cytotoxic T cell,Cytotoxic T cell
412,Cytotoxic T cell,Cytotoxic T cell
413,CD4+ T cell,CD4+ T cell
414,CD4+ T cell,CD4+ T cell
415,B cell,B cell
416,CD4+ T cell,CD4+ T cell
417,CD4+ T cell,CD4+ T cell
418,CD14+ monocyte,CD14+ monocyte
419,CD14+ monocyte,CD14+ monocyte
420,B cell,B cell
421,B cell,B cell
422,B cell,B cell
423,CD4+ T cell,CD4+ T cell
424,Cytotoxic T cell,Natural killer cell
425,CD4+ T cell,CD4+ T cell
426,B cell,B cell
427,Megakaryocyte,Megakaryocyte
428,CD4+ T cell,CD4+ T cell
429,CD4+ T cell,CD4+ T cell
430,CD14+ monocyte,CD14+ monocyte
431,CD4+ T cell,Cytotoxic T cell
432,CD4+ T cell,CD4+ T cell
433,B cell,B cell
434,CD4+ T cell,Cytotoxic T cell
435,B cell,B cell
436,CD4+ T cell,CD4+ T cell
437,CD4+ T cell,CD4+ T cell
438,CD4+ T cell,CD4+ T cell
439,CD14+ monocyte,CD14+ monocyte
440,CD4+ T cell,CD4+ T cell
441,Cytotoxic T cell,Cytotoxic T cell
442,CD14+ monocyte,CD14+ monocyte
443,CD4+ T cell,CD4+ T cell
444,Cytotoxic T cell,Cytotoxic T cell
445,CD14+ monocyte,CD14+ monocyte
446,Cytotoxic T cell,Natural killer cell
447,B cell,B cell
448,B cell,B cell
449,CD4+ T cell,CD4+ T cell
450,CD14+ monocyte,CD14+ monocyte
451,B cell,B cell
452,CD14+ monocyte,CD14+ monocyte
453,Cytotoxic T cell,Cytotoxic T cell
454,CD4+ T cell,CD4+ T cell
455,CD4+ T cell,Cytotoxic T cell
456,CD14+ monocyte,CD14+ monocyte
457,B cell,B cell
458,CD4+ T cell,CD4+ T cell
459,CD14+ monocyte,CD14+ monocyte
460,CD4+ T cell,CD4+ T cell
461,CD4+ T cell,Cytotoxic T cell
462,CD4+ T cell,CD4+ T cell
463,Cytotoxic T cell,Natural killer cell
464,CD14+ monocyte,CD14+ monocyte
465,B cell,B cell
466,CD14+ monocyte,Dendritic cell
467,CD4+ T cell,Cytotoxic T cell
468,CD14+ monocyte,CD14+ monocyte
469,CD14+ monocyte,CD14+ monocyte
470,CD4+ T cell,CD4+ T cell
471,B cell,B cell
472,CD4+ T cell,CD4+ T cell
473,CD14+ monocyte,CD14+ monocyte
474,Cytotoxic T cell,Cytotoxic T cell
475,CD4+ T cell,CD4+ T cell
476,Cytotoxic T cell,Cytotoxic T cell
477,CD14+ monocyte,CD14+ monocyte
478,CD4+ T cell,CD4+ T cell
479,Cytotoxic T cell,Cytotoxic T cell
480,B cell,B cell
481,CD4+ T cell,CD4+ T cell
482,CD4+ T cell,CD4+ T cell
483,Cytotoxic T cell,Natural killer cell
484,Cytotoxic T cell,Cytotoxic T cell
485,Megakaryocyte,Megakaryocyte
486,CD14+ monocyte,CD14+ monocyte
487,CD14+ monocyte,CD14+ monocyte
488,Megakaryocyte,Megakaryocyte
489,Cytotoxic T cell,Natural killer cell
490,Cytotoxic T cell,Cytotoxic T cell
491,Cytotoxic T cell,Cytotoxic T cell
492,B cell,B cell
493,Cytotoxic T cell,Cytotoxic T cell
494,CD14+ monocyte,CD14+ monocyte
495,Cytotoxic T cell,Cytotoxic T cell
496,CD14+ monocyte,CD14+ monocyte
497,CD4+ T cell,CD4+ T cell
498,Cytotoxic T cell,Cytotoxic T cell
499,CD14+ monocyte,CD14+ monocyte
500,Cytotoxic T cell,Natural killer cell
501,Cytotoxic T cell,Cytotoxic T cell
502,CD4+ T cell,CD4+ T cell
503,CD4+ T cell,CD4+ T cell
504,B cell,B cell
505,CD4+ T cell,CD4+ T cell
506,Megakaryocyte,Megakaryocyte
507,CD14+ monocyte,CD14+ monocyte
508,B cell,B cell
509,B cell,Plasmacytoid dendritic cell
510,B cell,B cell
511,CD4+ T cell,CD4+ T cell
512,CD14+ monocyte,CD14+ monocyte
513,Cytotoxic T cell,CD4+ T cell
514,CD14+ monocyte,CD14+ monocyte
515,CD4+ T cell,Cytotoxic T cell
516,B cell,B cell
517,Cytotoxic T cell,Natural killer cell
518,CD14+ monocyte,CD14+ monocyte
519,CD4+ T cell,CD4+ T cell
520,Cytotoxic T cell,Cytotoxic T cell
521,B cell,B cell
522,CD4+ T cell,CD4+ T cell
523,CD14+ monocyte,CD14+ monocyte
524,Cytotoxic T cell,Cytotoxic T cell
525,CD14+ monocyte,CD14+ monocyte
526,CD14+ monocyte,CD14+ monocyte
527,B cell,B cell
528,Cytotoxic T cell,Cytotoxic T cell
529,Cytotoxic T cell,Cytotoxic T cell
530,CD4+ T cell,CD4+ T cell
531,B cell,B cell
532,CD14+ monocyte,CD14+ monocyte
533,Cytotoxic T cell,Cytotoxic T cell
534,CD4+ T cell,CD4+ T cell
535,Cytotoxic T cell,Cytotoxic T cell
536,Cytotoxic T cell,Cytotoxic T cell
537,Cytotoxic T cell,Cytotoxic T cell
538,B cell,B cell
539,CD4+ T cell,Cytotoxic T cell
540,Natural killer cell,Natural killer cell
541,CD4+ T cell,CD4+ T cell
542,CD4+ T cell,Cytotoxic T cell
543,B cell,B cell
544,Megakaryocyte,Megakaryocyte
545,CD14+ monocyte,CD14+ monocyte
546,B cell,B cell
547,CD4+ T cell,CD4+ T cell
548,CD4+ T cell,CD4+ T cell
549,CD4+ T cell,Cytotoxic T cell
550,CD4+ T cell,CD4+ T cell
551,B cell,B cell
552,CD4+ T cell,CD4+ T cell
553,CD4+ T cell,CD4+ T cell
554,B cell,B cell
555,Cytotoxic T cell,Natural killer cell
556,CD14+ monocyte,CD14+ monocyte
557,B cell,B cell
558,CD4+ T cell,CD4+ T cell
559,Cytotoxic T cell,Natural killer cell
560,Cytotoxic T cell,Natural killer cell
561,Natural killer cell,Natural killer cell
562,Cytotoxic T cell,Cytotoxic T cell
563,B cell,B cell
564,CD14+ monocyte,CD14+ monocyte
565,B cell,B cell
566,CD14+ monocyte,CD14+ monocyte
567,Cytotoxic T cell,Cytotoxic T cell
568,Cytotoxic T cell,Cytotoxic T cell
569,CD14+ monocyte,CD14+ monocyte
570,CD4+ T cell,CD4+ T cell
571,Natural killer cell,Natural killer cell
572,B cell,B cell
573,Cytotoxic T cell,Cytotoxic T cell
574,B cell,B cell
575,B cell,B cell
576,CD4+ T cell,CD4+ T cell
577,CD14+ monocyte,CD14+ monocyte
578,CD4+ T cell,CD4+ T cell
579,CD4+ T cell,CD4+ T cell
580,Megakaryocyte,Megakaryocyte
581,CD4+ T cell,Cytotoxic T cell
582,CD14+ monocyte,CD14+ monocyte
583,CD4+ T cell,CD4+ T cell
584,CD14+ monocyte,CD14+ monocyte
585,CD14+ monocyte,CD14+ monocyte
586,CD4+ T cell,CD4+ T cell
587,Cytotoxic T cell,Natural killer cell
588,B cell,B cell
589,CD4+ T cell,Cytotoxic T cell
590,CD14+ monocyte,CD14+ monocyte
591,Cytotoxic T cell,Cytotoxic T cell
592,CD4+ T cell,CD4+ T cell
593,Megakaryocyte,Megakaryocyte
594,CD4+ T cell,CD4+ T cell
595,CD4+ T cell,CD4+ T cell
596,B cell,B cell
597,CD14+ monocyte,CD14+ monocyte
598,B cell,B cell
599,CD4+ T cell,Cytotoxic T cell
600,CD14+ monocyte,CD16+ monocyte
601,CD4+ T cell,CD4+ T cell
602,CD4+ T cell,CD4+ T cell
603,CD14+ monocyte,CD16+ monocyte
604,Cytotoxic T cell,Natural killer cell
605,CD4+ T cell,CD4+ T cell
606,Cytotoxic T cell,Cytotoxic T cell
607,CD4+ T cell,Cytotoxic T cell
608,CD14+ monocyte,CD14+ monocyte
609,Cytotoxic T cell,Cytotoxic T cell
610,CD4+ T cell,CD4+ T cell
611,CD4+ T cell,CD4+ T cell
612,CD4+ T cell,CD4+ T cell
613,CD14+ monocyte,CD14+ monocyte
614,CD14+ monocyte,CD16+ monocyte
615,Megakaryocyte,Megakaryocyte
616,B cell,B cell
617,Cytotoxic T cell,Cytotoxic T cell
618,Megakaryocyte,Megakaryocyte
619,B cell,B cell
620,Natural killer cell,Natural killer cell
621,Cytotoxic T cell,Cytotoxic T cell
622,CD4+ T cell,CD4+ T cell
623,Cytotoxic T cell,Cytotoxic T cell
624,CD4+ T cell,CD4+ T cell
625,Megakaryocyte,Megakaryocyte
626,Cytotoxic T cell,Cytotoxic T cell
627,CD4+ T cell,Cytotoxic T cell
628,CD4+ T cell,CD4+ T cell
629,B cell,B cell
630,Cytotoxic T cell,Cytotoxic T cell
631,Cytotoxic T cell,Natural killer cell
632,B cell,B cell
633,CD4+ T cell,CD4+ T cell
634,Cytotoxic T cell,Cytotoxic T cell
635,CD4+ T cell,CD4+ T cell
636,CD4+ T cell,Cytotoxic T cell
637,CD4+ T cell,CD4+ T cell
638,B cell,CD4+ T cell
639,Cytotoxic T cell,Cytotoxic T cell
640,CD4+ T cell,Cytotoxic T cell
641,Natural killer cell,Natural killer cell
642,CD4+ T cell,CD4+ T cell
643,Natural killer cell,Natural killer cell
644,B cell,B cell
645,B cell,B cell
646,B cell,B cell
647,B cell,B cell
648,CD14+ monocyte,CD16+ monocyte
649,Cytotoxic T cell,Cytotoxic T cell
650,CD4+ T cell,Cytotoxic T cell
651,CD4+ T cell,Cytotoxic T cell
652,CD4+ T cell,Cytotoxic T cell
653,CD4+ T cell,Cytotoxic T cell
654,Cytotoxic T cell,Natural killer cell
655,CD4+ T cell,CD4+ T cell
656,CD4+ T cell,Cytotoxic T cell
657,B cell,B cell
658,CD4+ T cell,CD4+ T cell
659,CD14+ monocyte,Dendritic cell
660,Megakaryocyte,Megakaryocyte
661,Cytotoxic T cell,Cytotoxic T cell
662,Cytotoxic T cell,CD4+ T cell
663,CD4+ T cell,CD4+ T cell
664,Cytotoxic T cell,Cytotoxic T cell
665,CD4+ T cell,CD4+ T cell
666,CD4+ T cell,CD4+ T cell
667,CD4+ T cell,CD4+ T cell
668,B cell,B cell
669,CD14+ monocyte,CD14+ monocyte
670,CD4+ T cell,CD4+ T cell
671,CD4+ T cell,CD4+ T cell
672,CD4+ T cell,CD4+ T cell
673,Megakaryocyte,Megakaryocyte
674,Megakaryocyte,Megakaryocyte
675,CD4+ T cell,Cytotoxic T cell
676,B cell,B cell
677,B cell,B cell
678,CD4+ T cell,CD4+ T cell
679,CD4+ T cell,CD4+ T cell
680,B cell,B cell
681,B cell,B cell
682,Cytotoxic T cell,Cytotoxic T cell
683,Cytotoxic T cell,Natural killer cell
684,CD4+ T cell,CD4+ T cell
685,Cytotoxic T cell,Cytotoxic T cell
686,Cytotoxic T cell,Cytotoxic T cell
687,CD4+ T cell,CD4+ T cell
688,B cell,B cell
689,CD14+ monocyte,CD14+ monocyte
690,Cytotoxic T cell,Natural killer cell
691,CD14+ monocyte,CD14+ monocyte
692,CD4+ T cell,CD4+ T cell
693,Cytotoxic T cell,Cytotoxic T cell
694,Megakaryocyte,Megakaryocyte
695,B cell,B cell
696,Cytotoxic T cell,Natural killer cell
697,CD4+ T cell,CD4+ T cell
698,Cytotoxic T cell,Cytotoxic T cell
699,CD4+ T cell,Cytotoxic T cell
700,Cytotoxic T cell,Cytotoxic T cell
701,CD14+ monocyte,CD14+ monocyte
702,CD4+ T cell,CD4+ T cell
703,CD14+ monocyte,CD14+ monocyte
704,Cytotoxic T cell,Cytotoxic T cell
705,CD14+ monocyte,CD14+ monocyte
706,Cytotoxic T cell,Cytotoxic T cell
707,CD4+ T cell,Cytotoxic T cell
708,Cytotoxic T cell,Cytotoxic T cell
709,CD14+ monocyte,CD14+ monocyte
710,CD4+ T cell,CD4+ T cell
