,pred,true
167,Cytotoxic T cell,Cytotoxic T cell
168,CD14+ monocyte,CD14+ monocyte
169,Cytotoxic T cell,Natural killer cell
170,CD4+ T cell,CD4+ T cell
171,Megakaryocyte,Megakaryocyte
172,CD4+ T cell,CD4+ T cell
173,B cell,B cell
174,CD14+ monocyte,CD14+ monocyte
175,CD14+ monocyte,CD14+ monocyte
176,Cytotoxic T cell,Cytotoxic T cell
177,Cytotoxic T cell,Cytotoxic T cell
178,Megakaryocyte,Megakaryocyte
179,CD4+ T cell,CD4+ T cell
180,B cell,B cell
181,Cytotoxic T cell,Cytotoxic T cell
182,CD4+ T cell,CD4+ T cell
183,CD4+ T cell,CD4+ T cell
184,Cytotoxic T cell,Natural killer cell
185,Cytotoxic T cell,Cytotoxic T cell
186,CD4+ T cell,CD4+ T cell
187,CD14+ monocyte,CD14+ monocyte
188,Cytotoxic T cell,CD4+ T cell
189,Cytotoxic T cell,Cytotoxic T cell
190,CD4+ T cell,CD4+ T cell
191,Megakaryocyte,Megakaryocyte
192,CD14+ monocyte,CD14+ monocyte
193,Cytotoxic T cell,Cytotoxic T cell
194,Cytotoxic T cell,Cytotoxic T cell
195,CD14+ monocyte,CD14+ monocyte
196,Cytotoxic T cell,Cytotoxic T cell
197,Cytotoxic T cell,Cytotoxic T cell
198,Cytotoxic T cell,Cytotoxic T cell
199,Megakaryocyte,Megakaryocyte
200,Cytotoxic T cell,Cytotoxic T cell
201,CD14+ monocyte,CD16+ monocyte
202,Megakaryocyte,Megakaryocyte
203,CD14+ monocyte,CD14+ monocyte
204,CD4+ T cell,CD4+ T cell
205,Cytotoxic T cell,CD4+ T cell
206,CD4+ T cell,CD4+ T cell
207,CD4+ T cell,CD4+ T cell
208,Cytotoxic T cell,Cytotoxic T cell
209,Cytotoxic T cell,Natural killer cell
210,CD4+ T cell,CD4+ T cell
211,CD4+ T cell,CD4+ T cell
212,CD4+ T cell,CD4+ T cell
213,Cytotoxic T cell,Cytotoxic T cell
214,CD14+ monocyte,CD14+ monocyte
215,CD4+ T cell,CD4+ T cell
216,Megakaryocyte,Megakaryocyte
217,CD4+ T cell,CD4+ T cell
218,CD14+ monocyte,CD14+ monocyte
219,Cytotoxic T cell,Cytotoxic T cell
220,CD4+ T cell,Cytotoxic T cell
221,Cytotoxic T cell,Cytotoxic T cell
222,Cytotoxic T cell,Cytotoxic T cell
223,Cytotoxic T cell,Cytotoxic T cell
224,Cytotoxic T cell,Cytotoxic T cell
225,CD4+ T cell,CD4+ T cell
226,Cytotoxic T cell,CD4+ T cell
227,CD14+ monocyte,CD14+ monocyte
228,CD4+ T cell,CD4+ T cell
229,CD14+ monocyte,CD16+ monocyte
230,CD4+ T cell,CD4+ T cell
231,B cell,B cell
232,B cell,B cell
233,CD4+ T cell,CD4+ T cell
234,Cytotoxic T cell,Cytotoxic T cell
235,CD4+ T cell,CD4+ T cell
236,Cytotoxic T cell,Cytotoxic T cell
237,CD4+ T cell,CD4+ T cell
238,Cytotoxic T cell,Cytotoxic T cell
239,CD4+ T cell,CD4+ T cell
240,CD14+ monocyte,CD14+ monocyte
241,CD4+ T cell,CD4+ T cell
242,CD14+ monocyte,CD14+ monocyte
243,CD4+ T cell,CD4+ T cell
244,CD4+ T cell,CD4+ T cell
245,Cytotoxic T cell,Cytotoxic T cell
246,Cytotoxic T cell,Natural killer cell
247,CD4+ T cell,CD4+ T cell
248,Cytotoxic T cell,Cytotoxic T cell
249,Cytotoxic T cell,Cytotoxic T cell
250,B cell,B cell
251,CD14+ monocyte,CD16+ monocyte
252,CD14+ monocyte,CD14+ monocyte
253,Megakaryocyte,Megakaryocyte
254,Megakaryocyte,Megakaryocyte
255,CD14+ monocyte,CD14+ monocyte
256,CD4+ T cell,CD4+ T cell
257,B cell,B cell
258,CD4+ T cell,CD4+ T cell
259,Cytotoxic T cell,Cytotoxic T cell
260,Cytotoxic T cell,Cytotoxic T cell
261,B cell,B cell
262,CD4+ T cell,CD4+ T cell
263,Megakaryocyte,Megakaryocyte
264,CD14+ monocyte,CD14+ monocyte
265,CD14+ monocyte,CD14+ monocyte
266,CD4+ T cell,CD4+ T cell
267,CD14+ monocyte,CD16+ monocyte
268,Cytotoxic T cell,Natural killer cell
269,CD4+ T cell,CD4+ T cell
270,CD4+ T cell,CD4+ T cell
271,CD14+ monocyte,CD14+ monocyte
272,CD4+ T cell,B cell
273,CD14+ monocyte,CD14+ monocyte
274,CD4+ T cell,CD4+ T cell
275,CD4+ T cell,CD4+ T cell
276,B cell,B cell
277,Cytotoxic T cell,CD4+ T cell
278,Cytotoxic T cell,Cytotoxic T cell
279,Cytotoxic T cell,Cytotoxic T cell
280,CD4+ T cell,CD4+ T cell
281,CD4+ T cell,CD4+ T cell
282,Megakaryocyte,Megakaryocyte
283,CD4+ T cell,CD4+ T cell
284,CD14+ monocyte,CD14+ monocyte
285,CD4+ T cell,CD4+ T cell
286,CD4+ T cell,CD4+ T cell
287,Cytotoxic T cell,Cytotoxic T cell
288,CD14+ monocyte,Dendritic cell
289,Cytotoxic T cell,CD4+ T cell
290,CD4+ T cell,CD4+ T cell
291,Cytotoxic T cell,Cytotoxic T cell
292,Cytotoxic T cell,CD4+ T cell
293,CD4+ T cell,CD4+ T cell
294,CD14+ monocyte,CD14+ monocyte
295,B cell,B cell
296,Cytotoxic T cell,Cytotoxic T cell
297,B cell,B cell
298,Cytotoxic T cell,Cytotoxic T cell
299,CD4+ T cell,CD4+ T cell
300,Cytotoxic T cell,Cytotoxic T cell
301,Cytotoxic T cell,Cytotoxic T cell
302,Cytotoxic T cell,CD4+ T cell
303,CD14+ monocyte,CD16+ monocyte
304,Megakaryocyte,Megakaryocyte
305,Cytotoxic T cell,CD4+ T cell
306,CD4+ T cell,CD4+ T cell
307,CD4+ T cell,CD4+ T cell
308,CD4+ T cell,CD4+ T cell
309,CD14+ monocyte,CD16+ monocyte
310,Megakaryocyte,Megakaryocyte
311,Cytotoxic T cell,Cytotoxic T cell
312,CD14+ monocyte,Dendritic cell
313,Megakaryocyte,Megakaryocyte
314,CD14+ monocyte,CD14+ monocyte
315,CD4+ T cell,CD4+ T cell
316,Megakaryocyte,Megakaryocyte
317,B cell,B cell
318,Cytotoxic T cell,Natural killer cell
319,Cytotoxic T cell,Cytotoxic T cell
320,CD4+ T cell,CD4+ T cell
321,Cytotoxic T cell,Cytotoxic T cell
322,CD14+ monocyte,CD14+ monocyte
323,CD14+ monocyte,CD16+ monocyte
324,Cytotoxic T cell,CD4+ T cell
325,B cell,B cell
326,CD14+ monocyte,CD14+ monocyte
327,Cytotoxic T cell,Natural killer cell
328,Cytotoxic T cell,Cytotoxic T cell
329,CD14+ monocyte,CD14+ monocyte
330,CD4+ T cell,CD4+ T cell
331,B cell,B cell
332,Cytotoxic T cell,Cytotoxic T cell
333,Megakaryocyte,Megakaryocyte
334,Cytotoxic T cell,Natural killer cell
335,CD4+ T cell,CD4+ T cell
336,CD14+ monocyte,CD16+ monocyte
337,Cytotoxic T cell,Cytotoxic T cell
338,CD14+ monocyte,CD14+ monocyte
339,CD14+ monocyte,CD14+ monocyte
340,Cytotoxic T cell,Cytotoxic T cell
341,Megakaryocyte,Megakaryocyte
342,B cell,B cell
343,CD4+ T cell,CD4+ T cell
344,Megakaryocyte,Megakaryocyte
345,CD4+ T cell,CD4+ T cell
346,Megakaryocyte,Megakaryocyte
347,B cell,B cell
348,Cytotoxic T cell,Cytotoxic T cell
349,CD14+ monocyte,CD14+ monocyte
350,CD4+ T cell,CD4+ T cell
351,B cell,B cell
352,CD4+ T cell,CD4+ T cell
353,Cytotoxic T cell,Cytotoxic T cell
354,Megakaryocyte,Megakaryocyte
355,CD14+ monocyte,CD14+ monocyte
356,CD14+ monocyte,CD16+ monocyte
357,Cytotoxic T cell,Cytotoxic T cell
358,CD4+ T cell,CD4+ T cell
359,CD14+ monocyte,CD14+ monocyte
360,B cell,B cell
361,CD4+ T cell,CD4+ T cell
362,Cytotoxic T cell,Cytotoxic T cell
363,CD14+ monocyte,CD14+ monocyte
364,Cytotoxic T cell,Cytotoxic T cell
365,Cytotoxic T cell,Cytotoxic T cell
366,CD4+ T cell,CD4+ T cell
367,Cytotoxic T cell,Cytotoxic T cell
368,CD4+ T cell,CD4+ T cell
369,Cytotoxic T cell,Cytotoxic T cell
370,Cytotoxic T cell,Cytotoxic T cell
371,Cytotoxic T cell,Cytotoxic T cell
372,CD4+ T cell,CD4+ T cell
373,CD14+ monocyte,CD14+ monocyte
374,Cytotoxic T cell,Cytotoxic T cell
375,Cytotoxic T cell,Cytotoxic T cell
376,Megakaryocyte,Megakaryocyte
377,Cytotoxic T cell,Cytotoxic T cell
378,Cytotoxic T cell,Cytotoxic T cell
379,B cell,B cell
380,B cell,B cell
381,Cytotoxic T cell,Cytotoxic T cell
382,B cell,B cell
383,CD14+ monocyte,CD16+ monocyte
384,B cell,B cell
385,Megakaryocyte,Megakaryocyte
386,CD4+ T cell,CD4+ T cell
387,Cytotoxic T cell,Cytotoxic T cell
388,Cytotoxic T cell,Cytotoxic T cell
389,Cytotoxic T cell,Cytotoxic T cell
390,CD4+ T cell,CD4+ T cell
391,CD4+ T cell,CD4+ T cell
392,CD4+ T cell,CD4+ T cell
393,Cytotoxic T cell,Cytotoxic T cell
394,CD4+ T cell,CD4+ T cell
395,CD4+ T cell,CD4+ T cell
396,Cytotoxic T cell,Natural killer cell
397,CD14+ monocyte,CD14+ monocyte
398,Megakaryocyte,Megakaryocyte
399,CD4+ T cell,CD4+ T cell
400,Cytotoxic T cell,Natural killer cell
401,CD4+ T cell,CD4+ T cell
402,CD14+ monocyte,CD16+ monocyte
403,Cytotoxic T cell,Cytotoxic T cell
404,Cytotoxic T cell,Natural killer cell
405,Cytotoxic T cell,Cytotoxic T cell
406,CD4+ T cell,CD4+ T cell
407,CD4+ T cell,CD4+ T cell
408,Cytotoxic T cell,Cytotoxic T cell
409,CD4+ T cell,CD4+ T cell
410,Cytotoxic T cell,Cytotoxic T cell
411,CD14+ monocyte,CD14+ monocyte
412,CD4+ T cell,CD4+ T cell
413,Cytotoxic T cell,Natural killer cell
414,Megakaryocyte,Megakaryocyte
415,Cytotoxic T cell,Cytotoxic T cell
416,CD14+ monocyte,Dendritic cell
417,B cell,B cell
418,Cytotoxic T cell,Cytotoxic T cell
419,Cytotoxic T cell,Cytotoxic T cell
420,CD4+ T cell,Cytotoxic T cell
421,CD4+ T cell,CD4+ T cell
422,CD4+ T cell,CD4+ T cell
423,CD14+ monocyte,CD14+ monocyte
424,B cell,B cell
425,Megakaryocyte,Megakaryocyte
426,B cell,B cell
427,Cytotoxic T cell,Cytotoxic T cell
428,CD4+ T cell,CD4+ T cell
429,Cytotoxic T cell,Cytotoxic T cell
430,CD14+ monocyte,CD14+ monocyte
431,Megakaryocyte,Megakaryocyte
432,CD4+ T cell,CD4+ T cell
433,Cytotoxic T cell,Cytotoxic T cell
434,CD4+ T cell,CD4+ T cell
435,CD4+ T cell,CD4+ T cell
436,CD4+ T cell,CD4+ T cell
437,CD4+ T cell,CD4+ T cell
438,Megakaryocyte,Megakaryocyte
439,Megakaryocyte,Megakaryocyte
440,Cytotoxic T cell,Cytotoxic T cell
441,Cytotoxic T cell,Cytotoxic T cell
442,CD4+ T cell,CD4+ T cell
443,CD14+ monocyte,CD14+ monocyte
444,Cytotoxic T cell,Cytotoxic T cell
445,Cytotoxic T cell,Cytotoxic T cell
446,Megakaryocyte,Megakaryocyte
447,CD14+ monocyte,CD14+ monocyte
448,CD14+ monocyte,CD14+ monocyte
449,Cytotoxic T cell,Cytotoxic T cell
450,Megakaryocyte,Megakaryocyte
451,CD4+ T cell,CD4+ T cell
452,Cytotoxic T cell,Cytotoxic T cell
453,CD4+ T cell,CD4+ T cell
454,CD4+ T cell,CD4+ T cell
455,Cytotoxic T cell,Cytotoxic T cell
456,Cytotoxic T cell,Cytotoxic T cell
457,CD14+ monocyte,Dendritic cell
458,CD4+ T cell,CD4+ T cell
459,CD4+ T cell,CD4+ T cell
460,CD4+ T cell,CD4+ T cell
461,Cytotoxic T cell,CD4+ T cell
462,Cytotoxic T cell,CD4+ T cell
463,CD14+ monocyte,CD14+ monocyte
464,Cytotoxic T cell,Natural killer cell
465,CD14+ monocyte,CD14+ monocyte
466,CD14+ monocyte,CD14+ monocyte
467,Cytotoxic T cell,Cytotoxic T cell
468,Cytotoxic T cell,Cytotoxic T cell
469,Cytotoxic T cell,Cytotoxic T cell
470,CD4+ T cell,CD4+ T cell
471,CD4+ T cell,CD4+ T cell
472,CD4+ T cell,CD4+ T cell
473,Cytotoxic T cell,Cytotoxic T cell
474,CD4+ T cell,CD4+ T cell
475,CD14+ monocyte,CD14+ monocyte
476,B cell,B cell
477,CD4+ T cell,CD4+ T cell
478,Megakaryocyte,Megakaryocyte
479,Megakaryocyte,Megakaryocyte
480,Megakaryocyte,Megakaryocyte
481,CD4+ T cell,CD4+ T cell
482,CD4+ T cell,CD4+ T cell
483,CD4+ T cell,CD4+ T cell
484,Cytotoxic T cell,Natural killer cell
485,Cytotoxic T cell,Cytotoxic T cell
486,CD4+ T cell,CD4+ T cell
487,Cytotoxic T cell,Cytotoxic T cell
488,CD4+ T cell,CD4+ T cell
489,Cytotoxic T cell,Cytotoxic T cell
490,CD4+ T cell,Cytotoxic T cell
491,Cytotoxic T cell,Natural killer cell
492,CD4+ T cell,CD4+ T cell
493,Cytotoxic T cell,Cytotoxic T cell
494,Cytotoxic T cell,Cytotoxic T cell
495,Cytotoxic T cell,Cytotoxic T cell
496,Cytotoxic T cell,Cytotoxic T cell
497,Cytotoxic T cell,Cytotoxic T cell
498,CD4+ T cell,CD4+ T cell
499,Cytotoxic T cell,Cytotoxic T cell
500,B cell,Dendritic cell
501,CD16+ monocyte,CD16+ monocyte
502,CD4+ T cell,CD4+ T cell
503,CD4+ T cell,CD4+ T cell
504,Megakaryocyte,Megakaryocyte
505,B cell,B cell
506,B cell,B cell
507,Cytotoxic T cell,Cytotoxic T cell
508,Megakaryocyte,Megakaryocyte
509,B cell,B cell
510,B cell,B cell
511,CD4+ T cell,CD4+ T cell
512,Megakaryocyte,Megakaryocyte
513,Cytotoxic T cell,Cytotoxic T cell
514,CD14+ monocyte,CD14+ monocyte
515,Cytotoxic T cell,Cytotoxic T cell
516,Cytotoxic T cell,Cytotoxic T cell
517,Cytotoxic T cell,Cytotoxic T cell
518,Megakaryocyte,Megakaryocyte
519,Cytotoxic T cell,CD4+ T cell
520,Cytotoxic T cell,Cytotoxic T cell
521,CD14+ monocyte,CD14+ monocyte
522,Cytotoxic T cell,Cytotoxic T cell
523,CD4+ T cell,CD4+ T cell
524,Cytotoxic T cell,Cytotoxic T cell
525,CD4+ T cell,CD4+ T cell
526,Cytotoxic T cell,CD4+ T cell
527,CD14+ monocyte,CD14+ monocyte
528,Megakaryocyte,Megakaryocyte
529,Cytotoxic T cell,Cytotoxic T cell
530,CD4+ T cell,CD4+ T cell
531,Cytotoxic T cell,Cytotoxic T cell
532,CD14+ monocyte,CD14+ monocyte
533,Megakaryocyte,Megakaryocyte
534,Cytotoxic T cell,Cytotoxic T cell
535,Cytotoxic T cell,Natural killer cell
536,CD4+ T cell,CD4+ T cell
537,Cytotoxic T cell,Cytotoxic T cell
538,CD4+ T cell,CD4+ T cell
539,Cytotoxic T cell,Cytotoxic T cell
540,Cytotoxic T cell,Cytotoxic T cell
541,B cell,B cell
542,CD14+ monocyte,CD16+ monocyte
543,B cell,B cell
544,CD4+ T cell,CD4+ T cell
545,B cell,B cell
546,Cytotoxic T cell,Cytotoxic T cell
547,Cytotoxic T cell,Cytotoxic T cell
548,CD14+ monocyte,CD14+ monocyte
549,CD4+ T cell,CD4+ T cell
550,CD14+ monocyte,CD16+ monocyte
551,Cytotoxic T cell,Cytotoxic T cell
552,B cell,B cell
553,Cytotoxic T cell,Cytotoxic T cell
554,CD14+ monocyte,CD14+ monocyte
555,CD4+ T cell,CD4+ T cell
556,Cytotoxic T cell,Natural killer cell
557,Cytotoxic T cell,Natural killer cell
558,CD4+ T cell,CD4+ T cell
559,B cell,B cell
560,CD4+ T cell,CD4+ T cell
561,CD14+ monocyte,CD14+ monocyte
562,CD14+ monocyte,CD16+ monocyte
563,CD4+ T cell,CD4+ T cell
564,Cytotoxic T cell,Cytotoxic T cell
565,CD4+ T cell,CD4+ T cell
566,CD14+ monocyte,CD14+ monocyte
567,Cytotoxic T cell,Natural killer cell
568,CD4+ T cell,CD4+ T cell
569,Megakaryocyte,Megakaryocyte
570,Cytotoxic T cell,Cytotoxic T cell
571,CD4+ T cell,CD4+ T cell
572,CD14+ monocyte,CD14+ monocyte
573,CD4+ T cell,CD4+ T cell
574,CD4+ T cell,CD4+ T cell
575,CD14+ monocyte,CD14+ monocyte
576,Cytotoxic T cell,Cytotoxic T cell
577,CD14+ monocyte,CD14+ monocyte
578,CD4+ T cell,CD4+ T cell
579,CD14+ monocyte,CD14+ monocyte
580,Cytotoxic T cell,Cytotoxic T cell
581,Cytotoxic T cell,Cytotoxic T cell
582,B cell,B cell
583,Cytotoxic T cell,Cytotoxic T cell
584,CD4+ T cell,CD4+ T cell
585,CD14+ monocyte,CD14+ monocyte
586,Cytotoxic T cell,Cytotoxic T cell
587,B cell,B cell
588,Cytotoxic T cell,Cytotoxic T cell
589,B cell,B cell
590,Cytotoxic T cell,Cytotoxic T cell
591,CD14+ monocyte,CD14+ monocyte
592,CD4+ T cell,CD4+ T cell
593,Cytotoxic T cell,Cytotoxic T cell
594,Cytotoxic T cell,Natural killer cell
595,CD4+ T cell,CD4+ T cell
596,CD4+ T cell,CD4+ T cell
597,CD14+ monocyte,CD14+ monocyte
598,CD14+ monocyte,CD14+ monocyte
599,CD4+ T cell,CD4+ T cell
600,CD4+ T cell,CD4+ T cell
601,CD14+ monocyte,CD14+ monocyte
602,Cytotoxic T cell,Natural killer cell
603,Cytotoxic T cell,Cytotoxic T cell
604,Cytotoxic T cell,Cytotoxic T cell
605,Cytotoxic T cell,Cytotoxic T cell
606,Cytotoxic T cell,Cytotoxic T cell
607,B cell,B cell
608,CD4+ T cell,CD4+ T cell
609,B cell,B cell
610,CD14+ monocyte,CD14+ monocyte
611,Cytotoxic T cell,Cytotoxic T cell
612,CD4+ T cell,CD4+ T cell
613,CD14+ monocyte,CD14+ monocyte
614,CD4+ T cell,CD4+ T cell
615,CD14+ monocyte,CD16+ monocyte
616,CD4+ T cell,CD4+ T cell
617,CD4+ T cell,CD4+ T cell
618,Cytotoxic T cell,Cytotoxic T cell
619,CD14+ monocyte,CD16+ monocyte
620,B cell,B cell
621,Megakaryocyte,Megakaryocyte
622,Cytotoxic T cell,Cytotoxic T cell
623,CD14+ monocyte,CD16+ monocyte
624,Megakaryocyte,Megakaryocyte
625,Cytotoxic T cell,CD4+ T cell
626,Cytotoxic T cell,Cytotoxic T cell
627,CD14+ monocyte,CD14+ monocyte
628,Cytotoxic T cell,Cytotoxic T cell
629,CD14+ monocyte,CD16+ monocyte
630,Cytotoxic T cell,Cytotoxic T cell
631,Cytotoxic T cell,Cytotoxic T cell
632,B cell,B cell
633,Cytotoxic T cell,Natural killer cell
634,CD4+ T cell,CD4+ T cell
635,Megakaryocyte,Megakaryocyte
636,CD14+ monocyte,CD14+ monocyte
637,CD4+ T cell,CD4+ T cell
638,Cytotoxic T cell,Cytotoxic T cell
639,CD4+ T cell,CD4+ T cell
640,Cytotoxic T cell,Natural killer cell
641,B cell,B cell
642,Cytotoxic T cell,Cytotoxic T cell
643,CD4+ T cell,CD4+ T cell
644,Cytotoxic T cell,Cytotoxic T cell
645,CD14+ monocyte,CD14+ monocyte
646,Cytotoxic T cell,Cytotoxic T cell
647,Cytotoxic T cell,Cytotoxic T cell
648,Cytotoxic T cell,Cytotoxic T cell
649,CD4+ T cell,CD4+ T cell
650,CD14+ monocyte,CD14+ monocyte
651,Cytotoxic T cell,Cytotoxic T cell
652,Cytotoxic T cell,Cytotoxic T cell
653,Megakaryocyte,Megakaryocyte
654,Cytotoxic T cell,Cytotoxic T cell
655,Cytotoxic T cell,Cytotoxic T cell
656,CD4+ T cell,CD4+ T cell
657,CD4+ T cell,CD4+ T cell
658,Cytotoxic T cell,Cytotoxic T cell
659,Megakaryocyte,Megakaryocyte
660,Cytotoxic T cell,Cytotoxic T cell
661,CD4+ T cell,CD4+ T cell
662,CD14+ monocyte,CD14+ monocyte
663,CD4+ T cell,CD4+ T cell
664,Cytotoxic T cell,Natural killer cell
665,Megakaryocyte,Megakaryocyte
666,Cytotoxic T cell,Cytotoxic T cell
667,Cytotoxic T cell,Cytotoxic T cell
668,Cytotoxic T cell,Natural killer cell
669,Cytotoxic T cell,Cytotoxic T cell
670,Cytotoxic T cell,Cytotoxic T cell
671,CD4+ T cell,CD4+ T cell
672,Cytotoxic T cell,Natural killer cell
673,Megakaryocyte,Megakaryocyte
674,CD14+ monocyte,CD14+ monocyte
